Reporter Identifier	VALUE	S_N_P/8a-2_OKhymenets_220905
100002	168499.2	63.36
100003	167.12	0.16
100027	127.99	1.04
100036	1629.44	2.82
100037	34092.76	43.86
100039	13448.42	39.11
100044	244	-2.86
100045	302.95	0.59
100051	269.79	-0.79
100052	358.14	1.43
100057	4458.83	5.88
100058	58782.04	70.9
100060	1057.2	1.51
100062	6732.38	3.75
100064	2120.01	6.25
100079	25574.98	73.46
100089	4405.2	15.64
100093	158.83	0.56
100095	942.86	0.91
100100	44699.81	91.76
100102	526.91	2.37
100103	203.19	-1.66
100105	409.77	2.83
100111	278.41	0.61
100117	194.89	0.54
100120	52513.48	85.82
100130	63206.4	98.07
100137	363668.91	108.98
100145	1233.61	3.06
100146	10418.81	35.56
100151	519.93	-0.3
100159	980.26	3.52
100160	299.77	1.21
100172	1114.69	2.06
100181	7071.45	14.71
100182	730.16	4.52
100184	8890.9	38.23
100195	32018.84	43.32
100214	2725.13	7.01
100215	4246.88	15.29
100216	279.53	0.56
100244	763.45	4.05
100249	226021.39	80.67
100259	3035.74	8.12
100260	445.95	1.32
100269	345.97	-2.14
100277	212.32	0.54
100278	1905.56	9.48
100288	453.9	2.08
100289	295.61	1.72
100295	316.49	0.45
100297	1804.95	13.12
100302	1307.27	1.41
100309	311.29	-0.31
100312	623.83	2
100313	28642.65	46.8
100328	3244.26	12.87
100336	574	2.67
100340	30334.95	11.94
100344	17864.39	30.93
100348	445114.93	97.87
100352	488.9	2.21
100356	11710.29	39.56
100357	2166.81	10.2
100365	1471.94	7.44
100369	302.18	-0.43
100384	35885.64	98.06
100385	35468.99	44.22
100388	199.59	-0.31
100390	419451.66	90.9
100398	1539.16	8.35
100403	15198.13	40.23
100404	414.77	0.5
100405	4048.07	10.12
100410	7600.02	39.07
100415	2258.23	7.4
100419	202.34	-1.68
100423	61630.89	24.77
100426	184.26	0.78
100430	22360.21	56.48
100431	3774.2	12.31
100436	336.89	-1.24
100442	164906.79	92.94
100451	1230.45	5.08
100454	20207.15	68.24
100455	1239.58	1.72
100458	362.75	1.72
100460	54630.94	79.73
100472	1928.37	6.28
100473	133.32	-1.12
100479	497.49	1.09
100485	8143.28	18.39
100492	177.05	0.46
100494	3287.02	6.42
100503	52298.72	119.91
100510	15870.17	30.58
100511	135.82	-0.65
100513	1592.5	8.23
100524	11150.08	44.56
100525	308.92	1.08
