Reporter Identifier	VALUE	S_N_P/2a-1_OKhymenets_220905
100002	47796.31	72.75
100003	99.24	-1.59
100027	96.25	0.36
100036	885.39	9.85
100037	14521.44	40.19
100039	3231.41	16.07
100044	176.48	-0.11
100045	127.08	-1.51
100051	173.89	-0.03
100052	178.35	-1.2
100057	1000.58	3.58
100058	44914	84.15
100060	2700.62	11.34
100062	1148.24	2.47
100064	1421.37	7.04
100079	7104.42	43.98
100089	1333.99	6.82
100093	114.38	-0.85
100095	211.57	-0.57
100100	12587.81	62.73
100102	173.08	1.02
100103	76.86	-0.81
100105	194.23	1.7
100111	63.48	-1.28
100117	240.19	-0.36
100120	21985.85	75.13
100130	19574.23	73.73
100137	229807.94	101.45
100145	973.59	10.34
100146	5163.99	37.12
100151	209.79	-1.17
100159	429.04	3.51
100160	249.46	2.74
100172	790.89	2.95
100181	2036.42	12.66
100182	660.83	3.94
100184	4984.02	38.65
100195	9714.9	36.1
100214	687.88	12.32
100215	1422.93	6.29
100216	117.1	0.98
100244	272.23	2.49
100249	72523.8	91.45
100259	1342.81	11.11
100260	199.9	-0.92
100269	209.78	-0.82
100277	123.91	1.27
100278	803.75	17.98
100288	146.92	-1.32
100289	97.43	-1.6
100295	301.11	3.01
100297	360.89	4.28
100302	406.77	6.91
100309	595.13	4.07
100312	158.57	-0.04
100313	12418.47	75.5
100328	214.31	0.75
100336	212.12	0.79
100340	13575.13	29.72
100344	7749.81	24.23
100348	230155	62.31
100352	300.57	4.62
100356	7760.16	27.62
100357	857.76	4.21
100365	247.59	0.8
100369	178.36	1.67
100384	20128.78	77.52
100385	12397.55	69.3
100388	621.86	3.52
100390	189483.58	64.55
100398	376.45	5.59
100403	3724.08	27.17
100404	372.63	3.29
100405	1144.24	7.99
100410	4637.63	39
100415	556.5	2.49
100419	172.18	0.34
100423	33238.54	26.93
100426	316.52	3.92
100430	8470.84	36.6
100431	1596.06	8.2
100436	308.24	-1.22
100442	89688.67	67.51
100451	1034.86	8.25
100454	7510.5	48.07
100455	470.97	2.39
100458	210.94	0.64
100460	22375.4	67.58
100472	624.24	6.38
100473	144.04	0.7
100479	106.14	-1.03
100485	1422.62	7.17
100492	156.71	0.83
100494	1605.32	7.29
100503	19107.98	85.97
100510	7994.87	31.06
100511	56.65	-1.4
100513	700.09	13.58
100524	4383.08	30.24
100525	114.72	1.99
100529	135.81	-0.93
100537	14710.1	78.45
100543	14638.09	48.65
100547	368.37	3.51
100552	46405.3	80.87
100557	183.72	-0.47
100558	825.09	8.3
100566	127.35	-1.84
100569	136.73	1.12
100570	1575.11	11.37
100572	89.52	0.32
100575	108.02	0.32
100583	683.36	6.16
100589	4320.77	33.84
100591	6255.57	34.2
100594	587.64	0.03
100596	2383.71	8.6
100608	243.71	0.36
100611	99.92	0.15
100627	145600.91	88.74
100628	402.28	2.75
100629	43097.2	92.79
100635	2070.03	10.23
100636	31908.94	60.29
100639	2608.53	25.53
100641	33500.89	59.98
100642	194.37	-0.76
100645	102.48	-3.19
100646	200.09	-2.89
100658	115.8	-1.91
100659	460.9	4.29
100664	43584.07	83.08
100671	1708.95	7.84
100679	305.96	1.45
100680	214.53	2.39
100681	315.87	0.46
100687	522.57	9.79
100689	1743.01	19.23
100691	2609.36	19.63
100694	1234.22	16.55
100702	184980.77	87.76
100709	3572.33	20.75
100710	35935.02	84.91
100717	871.57	2.06
100719	540.54	4.34
100722	1060.49	12.48
100727	146.4	0.9
100736	107.31	0.43
100747	304.17	4.9
100748	1868.97	6.57
100757	5532.68	25.76
100762	135.98	-2.32
100765	5347.87	57.51
100771	1196502.65	68.86
100777	6343.8	63.14
100781	100.15	-2.28
100787	989.32	1.07
100788	1020.24	8.4
100794	206.88	2.17
100801	184.96	0.68
100812	972.74	3.92
100814	253.49	2.13
100819	564.15	3.95
100825	913.26	10.1
100826	306883.57	58.11
100830	156.15	1.61
100837	71.08	0.02
100840	44718.31	53.72
100845	27121.89	77.25
100857	110.22	-1.04
100869	71.74	-0.81
100876	138.63	0.87
100883	214.54	1.68
100884	540.78	3.83
100890	405.8	4.19
100892	3739.94	37.19
100894	258558.26	67.62
100901	38880.66	73.84
100912	728.12	9.32
100914	3911.46	14.52
100925	246.73	-0.65
100935	140.57	1.53
100939	3984.06	14.72
100942	2042.19	17.64
100943	3941.86	9.69
100945	4232.53	17.59
100949	2539.98	20.39
100951	6122.88	39.84
100952	506.36	3.38
100955	24527.9	107.87
100963	3095.57	14.68
100966	4840.19	25.3
100969	13680.98	80.36
100972	339.38	1.5
100983	125.44	1.64
100984	2077.26	10.01
100989	542.4	3.4
100993	3556.13	25.56
100996	102.68	-0.95
100997	754.1	6.56
101011	132.94	-2.79
101012	2589.18	22.04
101018	2262.01	14.9
101019	631.9	4.59
101020	3257.34	14.16
101026	3173.68	55.97
101027	725.49	3.15
101034	130.15	-0.89
101039	6935.85	23.25
101042	4341.88	28.99
101044	472.1	0.58
101058	64809.44	101.64
101059	215.15	2.84
101060	1729.16	15.06
101065	5438.18	43.42
101068	26818.87	44.74
101070	12417.1	75.24
101072	5573.82	45.74
101083	104.67	-0.5
101089	87.18	-0.68
101108	2854.48	28.79
101109	269.02	0.51
101113	297014.57	104
101114	557	5.22
101116	3239.05	14.55
101120	12859.13	90.84
101122	92.33	0.16
101123	10247.44	45.92
101125	32216.98	45.24
101126	8457.67	58.08
101140	4600.72	58.14
101144	187.47	1.58
101145	133087.99	63.04
101150	1908.36	17.63
101157	169.27	-0.52
101173	1001.86	14.14
101185	2164.34	11.31
101191	2969.34	37.38
101192	6569.94	38.89
101193	2217.72	27.57
101194	4315.4	28.65
101196	15232.9	51.58
101200	1050.38	5.23
101210	46.84	1.01
101213	12283.43	58.83
101216	267.56	2.66
101220	21036	60.49
101231	76.26	-2.18
101239	18747.8	43.79
101242	1198.7	4.04
101251	129.29	-0.76
101252	1004.33	3.45
101255	57486.86	85.61
101260	3070.44	16.58
101262	74.53	-0.55
101263	144.12	1.59
101266	11778.88	63.4
101269	252.89	3.08
101287	53871.84	73.42
101293	6430.41	36.5
101300	2821.4	18.69
101304	555.13	3.71
101310	14166.56	50.84
101319	130.3	-0.25
101320	3960.61	39.53
101331	1060.91	6.36
101333	3465.61	28
101336	67.02	0.9
101339	13357.48	44.95
101347	383.57	1.85
101353	156.6	0.42
101356	337.66	0.95
101359	434.04	2.08
101361	205.46	1.28
101365	496133.23	83.57
101368	688.51	7.22
101370	2906.41	23.14
101374	284.33	-1.06
101377	10121.31	43.64
101381	5647.84	47.02
101387	1471.66	1.82
