Reporter Identifier	VALUE	S_N_P/4a-3_OKhymenets_220905
100002	91003.27	93.91
100003	175.45	-2.18
100027	379.97	2.13
100036	1173.9	3.8
100037	23896.94	32.84
100039	6625.02	25.53
100044	196.68	-0.4
100045	315.76	-0.54
100051	173.02	0.3
100052	215.65	-1.94
100057	2515.64	11.17
100058	65598.43	73.43
100060	1296.24	2.51
100062	1733.24	2.33
100064	405.87	1.41
100079	13116.99	45.56
100089	2815.13	10.48
100093	174.58	1.01
100095	486.19	-1.2
100100	25424.04	74.24
100102	293.13	-0.58
100103	317.73	3.04
100105	121.77	-0.11
100111	207.53	0.8
100117	290.62	0.16
100120	40981.71	73.62
100130	33981.67	68.05
100137	356053.17	87.83
100145	1406.11	6.57
100146	8428.2	30.59
100151	461.91	-0.1
100159	1331.66	9.95
100160	435.63	5.15
100172	2294.14	11.24
100181	4349.98	22.21
100182	361.78	1.82
100184	8298.29	42.42
100195	17820.21	42.54
100214	1728.1	15.05
100215	1974.5	9.1
100216	1013.91	5.49
100244	762.49	3.83
100249	99129.66	62.01
100259	1865.86	7.57
100260	275.19	-1.07
100269	262.92	-1.87
100277	289.62	-0.07
100278	694.25	4.94
100288	300.1	1.69
100289	118.88	-2.46
100295	251.27	0.75
100297	464.06	2.19
100302	678.01	6.59
100309	131.74	-0.71
100312	188.35	0.11
100313	19021.58	37.99
100328	1961.36	5.61
100336	324.8	-0.21
100340	28100.85	43.8
100344	13558.48	30.13
100348	349305.86	84.59
100352	423.89	1.98
100356	13005.99	43.42
100357	1868.47	6.6
100365	626.52	2.78
100369	207.06	-0.14
100384	26671.22	96.4
100385	21218.52	61.94
100388	302.2	1.46
100390	222817.87	86.54
100398	997.32	5.8
100403	9259.68	49.72
100404	326.36	-2.16
100405	2330.77	14.08
100410	7125.26	34.87
100415	1733.71	7.04
100419	154.08	-1.06
100423	57739.38	22.52
100426	443.07	4.01
100430	11140.4	20.28
100431	2493.25	10.06
100436	343.09	-0.33
100442	126359.33	53.45
100451	1601.72	6.28
100454	9403.64	29.06
100455	1264.51	3.34
100458	484.12	3.18
100460	35764.59	67.96
100472	2021.99	8.56
100473	264.58	-0.07
100479	113.09	-2.97
100485	3732.71	17.76
100492	136.13	-0.41
100494	3128.29	9.62
100503	30563.21	71.21
100510	14757.25	19.65
100511	225	0.16
100513	1403.81	7.91
100524	8298.44	28.21
100525	103.67	-1.35
100529	314.62	1.71
100537	26013.07	65.21
100543	21733.63	64.99
100547	821.9	6.26
100552	57305.53	58.13
100557	915.22	-0.12
100558	343.55	1.42
100566	497.74	2.38
100569	168.71	-2.13
100570	3524.9	17.37
100572	154.46	0.74
100575	382.93	2.61
100583	195.25	-0.95
100589	8998.98	52.81
100591	11229.11	19.67
100594	1121.43	1.13
100596	3852.85	14.4
100608	192.45	0.61
100611	158.31	-1.89
100627	311235.01	92.36
100628	133.03	-0.07
100629	59059.82	109.13
100635	3821.73	5.15
100636	65451.56	55.37
100639	5086.87	12.15
100641	46050.12	23.63
100642	175.81	0.9
100645	217.08	0.14
100646	228.4	-0.28
100658	89.6	-0.35
100659	1004.48	6.15
100664	76202.37	70.15
100671	2939.26	8.82
100679	810.13	2.4
100680	762.28	5.29
100681	476.16	1.4
100687	1027.88	4.14
100689	5048.17	21.33
100691	5955.03	23.32
100694	3827.19	22.67
100702	286273.42	76.85
100709	5612.72	36.21
100710	59368.13	79.11
100717	555.14	1.17
100719	211.32	0.9
100722	1427.63	7.18
100727	347.65	-0.03
100736	175.98	-0.99
100747	230.08	0.24
100748	2065.14	4.42
100757	11489.93	49.28
100762	156.72	1.24
100765	6799.95	34.69
100771	1399902.61	51.99
100777	10637.81	45.43
100781	220	-1
100787	1722	-0.23
100788	1262.62	3.74
100794	485.82	3.12
100801	413.64	0.87
100812	1048.17	3.15
100814	619.77	1.72
100819	954.47	7.43
100825	2400.89	25.12
100826	516939	101.24
100830	311.35	2.81
100837	156.74	-0.06
100840	67618.92	80.82
100845	45107.33	84.9
100857	346.96	1.64
100869	101.04	-0.86
100876	176.75	-4.74
100883	125.65	-2.76
100884	998.17	3.49
100890	1040.73	7.83
100892	5585.29	13.68
100894	342740.68	78.73
100901	49099.2	58.88
100912	1218.78	6.72
100914	7360.75	35.1
100925	272.75	-1.78
100935	150.44	0.82
100939	7882.04	14.88
100942	4007.08	10.75
100943	9797.33	31.63
100945	6644.14	8.44
100949	3502.75	40.24
100951	13876.13	61.48
100952	539.79	2.98
100955	35752.48	67.26
100963	7210.91	18.66
100966	16148.16	48.35
100969	21451.4	48.59
100972	487.36	0.93
100983	236.52	1.02
100984	3785.63	13.8
100989	955.28	6.39
100993	6198.84	21.94
100996	345.79	-0.22
100997	2007.33	13.63
101011	438.11	1.85
101012	3881.61	13.99
101018	3492.33	14.6
101019	1906.41	16.52
101020	7346.67	25.16
101026	6255.04	22.93
101027	1130.41	4.36
101034	261.82	-1.2
101039	8782.3	34.91
101042	9554.59	36.86
101044	584.91	3.06
101058	99625.04	94.19
101059	255.61	-0.97
101060	2974.68	19.03
101065	9103.45	45.07
101068	45619.75	40.83
101070	16530.3	73.62
101072	9507.42	53.84
101083	267.47	1.61
101089	204.28	0.42
101108	4785.82	26.36
101109	550.25	0.13
101113	441200.72	94.94
101114	1639.73	9.83
101116	5575.39	15.89
101120	24036.84	53.66
101122	1055.95	6.24
101123	7665.64	37.45
101125	64777.1	42.43
101126	19938.43	94.72
101140	5868.8	25.77
101144	144.33	-1.27
101145	180487.7	100.67
101150	3869.19	13.28
101157	250.8	-0.61
101173	1938.92	10.48
101185	4280.01	16.57
101191	5325.36	23.67
101192	14940.65	53.25
101193	4857.51	18.92
101194	6998.5	27.09
101196	27677.21	36.15
101200	1586.42	5.14
101210	118.44	0.04
101213	20764.25	47.56
101216	322.44	2.05
101220	40103.89	71.9
101231	246.27	0.15
101239	39163.55	89.78
101242	2779.52	2.86
101251	261.82	0.94
101252	796.74	4.36
101255	82796.22	68.3
101260	5194.37	15.64
101262	232.22	0.72
101263	515.67	1.88
101266	19196.61	73.97
101269	520.31	3.88
101287	90238.82	83.79
101293	10814.36	26.95
101300	4764.98	20.05
101304	1266.14	4.43
101310	27076.88	71.56
101319	224.92	-0.36
101320	7720.97	35.09
101331	2028.72	13.11
101333	6770.7	19.53
101336	219.81	1.17
101339	23467.66	48.41
101347	911.45	4.84
101353	290.53	2.78
101356	425.07	0.33
101359	186.02	-0.68
101361	401.98	-1.26
101365	768647.77	110.57
101368	1097.36	4.81
101370	4450.75	35.89
101374	385.64	-1.42
101377	14641.41	42.27
101381	9145.49	32.6
101387	5436.98	5.06
101391	1170.46	5.8
101395	223.78	-0.4
101397	3817.76	19.27
101403	178.3	0.64
101404	1063.55	3.81
101408	1183.98	7.35
101413	232.25	-1.85
101431	1290.96	0.23
101441	71447.59	107.85
101444	5394.08	43.8
101445	13318.5	30.97
101446	778.02	0.41
101447	7423.55	34.33
101482	223.35	-0.96
101487	2108.45	9.53
101498	3769.96	11.85
101499	18783.68	69.84
101505	2621.41	14.15
101506	264.06	1.98
101509	1115.69	5.49
101511	11208.44	59.88
101513	271.24	-0.39
101518	425.25	0.2
101520	609.18	3.86
101526	12765.52	32.2
101527	11059.01	43.99
101538	113.22	0.45
101549	4509.95	-0.54
101552	620.28	2.37
101555	300.74	-0.1
101559	388	2.8
101561	507.69	2.98
101566	355.73	-0.58
101569	110.48	0.38
101570	1885.42	3.67
101574	15246.82	39.67
101575	140.99	0
101584	1863.53	7.85
101588	46736.39	92.64
101589	3057.33	12.02
101592	2894	14.57
101594	2362.36	10.51
101597	482.45	0.51
101598	371.31	-1.54
101603	4358.1	26.74
101611	4102.28	31.34
101616	1355.84	2.48
101623	557.37	2.33
101641	1159.91	2.21
101645	3884.77	5.77
101647	259.26	0.27
101648	1117.79	4.87
101654	1319.16	5.9
101655	2289.48	10.85
101663	810.8	0.6
101664	14006.72	45.98
101666	1587.35	7.66
101670	9020.97	26.73
101676	8588.88	63.65
101678	470.07	1.71
101680	4237.42	15.71
101686	5638.33	26.7
101687	6924.85	22.8
101688	730.31	2.6
101692	33144.88	55.92
101693	19834.3	43.45
101695	409.28	3.96
101703	8650.67	44.97
101711	14493.78	47.78
101721	588.51	1.55
101722	427.91	1.35
101725	13871.99	78.65
101736	2132.6	7.02
101738	177.65	-2.44
101742	124.87	-1.38
101745	417.87	1.62
101754	40131.43	78.28
101755	144290.34	77.29
101757	1653	5.1
101759	966.14	6.4
101760	153.92	-1.44
101762	190.29	0.28
101768	648.04	-0.62
101775	550.89	1.89
101777	392.21	1.35
101781	15184.6	66.63
101783	319.6	-0.18
101798	1045590.77	136.55
101799	187.1	-0.5
101800	1315.81	9.01
101802	1429.91	8.37
101811	302103.97	89.42
101814	268.3	0.27
101815	35200.19	67.81
101821	1674.23	9.91
101835	19002.54	28.03
101843	276.94	0.49
101844	22478.64	54.38
101845	894.69	4.15
101854	164.55	-0.36
101855	1139.81	5.52
101860	175.44	0.63
101862	22327.52	53.17
101863	338.92	-0.11
101867	93212.41	104.29
101876	307.14	-0.04
101878	351.54	0.47
101887	19934.28	78.25
101893	19411.1	64.46
101899	878.96	4.12
101908	2154.8	32.83
101912	397.94	1.85
101913	205.89	1.04
101917	214.52	0.46
101929	1799.91	7.83
101930	625.32	-0.22
101931	37373.42	63.19
101946	69056.8	112.5
101948	420.01	2.35
101949	2129.63	9.43
101955	935.76	8.55
101958	21793.71	19.48
101962	13386.38	43.47
101965	2357.4	4.66
101973	59560.23	92.54
101974	85809.11	101.7
101979	5230.82	35.87
101980	11711.7	47.87
101985	19274.82	92.22
101987	8114.34	34.4
101998	351.71	1.17
102001	99259.22	86.14
102004	769.44	2.8
102010	389.1	1.37
102013	1939.54	12.33
102034	244.72	0.23
102036	2274.42	2.59
102037	144099.67	59.46
102040	1972.97	20.78
102046	18514.86	64.15
102047	15271.47	44.38
102049	289.6	-1.03
102051	236.38	3.5
102059	3757.76	12.67
102060	41967.87	113.58
102063	3792.4	15.22
102071	2658.39	14.37
102077	215.51	-1.22
102081	117.61	-1.49
102085	1131.02	-0.33
102086	11154.5	39.32
102088	270.15	0.21
102090	291.28	-0.59
102092	6106.12	37.43
102096	299.45	0.07
102108	309.93	2.92
102116	1984.58	7.01
102117	15878.98	52.67
102125	42971.19	72.47
102126	211.31	1.16
102133	8890.07	20.81
102135	176.04	-1.5
102137	274.68	-0.48
102138	17149.13	36.14
102140	1239.28	6.19
102148	724.89	2.8
102152	262.76	-3.04
102161	5113.91	26.3
102162	1478.5	6.62
102164	4997.49	31.23
102168	382.14	0.91
102174	1492.46	4.05
102175	15009.31	26.49
102177	406.46	0.64
102183	3885.82	1.83
102204	251.82	-1.21
102205	1443.1	5.77
102207	21807.58	66.08
102210	10825.12	47.15
102211	4375.57	18.22
102213	493.4	-0.43
102218	39697.97	71.25
102222	748.41	0.1
102225	543	2.93
102229	12868.06	16.18
102231	519.55	-0.79
102233	218854.59	114.06
102234	629.64	1.88
102236	9863.58	55.86
102241	385.54	-1.9
102244	10552.51	45.27
102249	225.45	-0.13
102255	248.33	-0.77
102257	70520	96.27
102263	906.92	2.56
102267	18912.11	62.17
102274	3187.98	10.42
102277	703.34	4.58
102279	379.74	0.59
102286	127.7	-1.8
102295	214.13	-2.11
102302	5684.27	13.62
102305	192.8	-1.54
102314	2899.19	19.92
102323	792.72	3.6
102330	891.56	5.26
102334	4001.21	31.55
102335	9759.12	22.46
102337	5345.98	24.26
102338	53439.81	60.74
102341	340.24	1.5
102342	15545.74	73.72
102344	8056.85	46.79
102347	309.37	-0.85
102348	1532.77	6.66
102353	155.16	0.26
102355	34171.64	103.81
102384	1906.54	13.27
102387	4644.22	32.64
102388	16604.37	55.74
102393	1100.85	8.87
102396	34030.14	35.65
102397	381768.51	72.89
102403	1343.93	5.35
102415	39495.35	63.12
102419	12440.62	70.47
102421	343.11	1.16
102431	197.88	1.27
102437	50013.71	74.5
102438	21187.9	82.51
102441	214.62	0.86
102445	3149.12	15.08
102450	215.21	1.2
102451	2281.76	11.91
102454	12218.76	54.26
102459	116.26	-2.25
102465	61295.93	70.99
102474	816.01	2.96
102477	1357.43	2.48
102482	6236.95	14.56
102483	23393.04	73.05
102484	128506.08	64.77
102488	1400.8	8.65
102491	25200.14	78.82
102492	19082.32	62.36
102498	115.38	0.16
102503	23653.36	28.58
102506	720.02	-0.23
102514	579218.02	84.4
102516	644.14	3.42
102518	1678160.67	103.82
102521	340.55	3.87
102523	965.85	-0.39
102525	513477.06	47.97
102539	173.79	0.89
102551	38677.46	86.48
102557	870.24	4.73
102558	8245.24	29.05
102559	2247.58	11.04
102560	453.11	-2.1
102563	9055.82	48.54
102564	11087.69	28.41
102565	8984.13	29.68
102571	3970.98	20.73
102572	440.88	2.01
102581	2968.31	8.95
102592	5613.64	6.84
102596	26583.9	89.74
102597	1443.33	4.28
102598	28977.82	78.01
102603	528.32	0.39
102604	97012.62	87.12
102610	5373.03	14.75
102617	184034.85	79.61
102622	788.04	3.49
102623	1099.76	4.91
102625	202.82	-0.81
102627	4628.45	23.17
102632	21416.66	77.05
102647	3927.15	20.53
102652	2726.73	10.63
102654	1652.98	11.2
102661	2686.39	10.16
102664	2792.73	10.55
102667	284.51	0.53
102670	388.05	0.94
102684	463.89	0.83
102688	31096.52	67.16
102693	568.55	0.03
102700	256.33	-0.66
102706	120965.81	124.39
102709	5171.76	32.14
102711	9236.75	16.1
102718	16311.28	43.11
102721	16784.76	15.98
102723	11278.35	52.99
102727	6423.99	15.96
102730	174.3	-0.54
102731	3564.9	16.7
102732	282767.36	80.21
102734	1838.92	12.82
102739	158.3	0.36
102753	3415.19	28.25
102754	2333.68	6.39
102756	305.81	-0.34
102759	130.63	-0.33
102762	1646.29	7.56
102769	469.85	1.82
102776	236.92	-1.61
102778	911.55	1.65
102783	7823.73	13.89
102786	407.36	1.11
102788	16374.74	64.56
102789	1952.63	20.4
102792	247.51	0.43
102794	1026.01	3.6
102795	450.24	1.78
102817	311.8	-0.03
102818	260.44	1.55
102820	893.86	4.1
102823	736.73	4.43
102824	391.11	1.92
102826	4259.23	27.43
102828	19953.83	77.83
102833	2015.4	8.41
102834	264.5	1.08
102835	191.66	-0.54
102836	1305.67	-0.77
102841	74407.06	105.56
102842	2213.9	8.99
102845	11990.67	33.19
102846	2102.33	8.63
102848	2295.32	12.87
102850	2497.97	2.17
102862	1829.97	7.41
102875	55228.81	91.71
102878	433.06	1.48
102881	1098.26	3.98
102888	1332.1	0.55
102896	226.13	-0.14
102899	865.06	0.74
102901	265.34	1
102904	5031.61	20.67
102907	23212.96	24.81
102910	23618.76	77.42
102914	1062.93	5.7
102915	16651.93	51.77
102916	12656.54	61.07
102924	9575.4	32.95
102926	4650.21	21.34
102937	316042.45	89.3
102939	272.25	-1.41
102944	1955.68	7.21
102945	1757.8	4.44
102952	400.04	2.01
102959	296.7	-0.72
102967	15493.98	48.58
102968	1670.84	2.84
102971	813.63	2.31
102972	1853.36	9.36
102973	426.9	0.64
10298121	814.36	15.76
102988	3102.39	16.5
102997	1518.38	4.58
102999	220.29	0.11
103002	663.47	4.27
103003	179.88	-1.66
103010	4222.93	15.35
103013	4203.19	21.79
103021	8689.61	42.62
103022	328.27	0.33
103029	156.44	-1.52
103030	154.14	-0.84
103034	8597.9	40.68
103043	933.72	4.01
103054	454.3	2.19
103058	791.06	-0.67
103069	1612.18	7.24
103070	171.39	0.93
103073	205.4	-0.62
103079	2626.28	10.96
103080	727.12	1.58
103082	744.06	4.13
103085	170985.8	70.81
103095	263616.19	95.23
103097	1271382.93	117.66
103100	1550.59	10.59
103102	1602.55	9.36
103103	844.48	5.86
103105	412.49	2.62
103107	664.04	2.25
103109	2670.1	38.42
103111	403.56	-0.18
103113	4220.01	33.25
103115	362.05	2.25
103117	1302.86	6.44
103150	47111.26	58.93
103152	268.6	-0.89
103153	2055.15	9.12
103159	693.03	2.01
103164	1113.63	4.64
103169	12409.59	39.63
103171	279.18	2.02
103183	16992.67	49.14
103185	15032.7	41.57
103193	12634.94	72.63
103201	27624.39	65.4
103206	14014.49	37.12
103211	1580.25	2.56
103212	274.87	-0.53
10321330	1448.22	4.84
103214	4073.24	8.19
10322069	180.33	0.4
103225	84372.99	86.95
103227	553.56	-0.65
103232	4560.9	17.97
103235	164.11	-1.47
103239	5292.32	20.35
103241	1458.61	0.21
103252	7288.77	24.77
103254	291.05	-0.62
103259	360.78	1.15
103260	93.5	0.22
103264	3103.07	13.41
103269	141.73	1.54
103271	536.99	1.85
103273	1140.73	6.96
103279	3483.87	13.07
103288	556.38	-0.18
103291	19814.81	91.16
103297	193.52	0.05
103301	1159.19	6.36
103305	1129.37	3.11
103306	2759.69	37.4
103310	219.33	-1.66
103318	427.47	0.1
103331	1273.16	0.07
103341	8827.45	25.31
103342	397.85	1.53
103344	1013.93	4.26
103350	47899.92	99.5
103355	223.5	1.3
103357	44132.4	60.14
103366	94428.02	102.3
103367	169	-2.55
103382	7059.04	32.43
103384	10760.01	61.04
103392	12084.91	43.81
103394	2753.75	5.72
103395	4918.82	21.32
103396	953.13	4.23
103401	1120.85	4.46
103403	287.94	-4.35
103404	1502.63	1.26
103406	5362.73	29.29
103409	15788.46	51.75
103413	43988.3	92.26
103415	64557.69	79.13
103418	14794.28	44.54
103423	12095.43	72.5
103430	19349.8	35.66
