Reporter Identifier	VALUE	S_N_P/8a-1_OKhymenets_220905
100002	81618.6	105.81
100003	204.84	-0.35
100027	149.38	0
100036	486.28	1.82
100037	16005.4	36.48
100039	5362.21	29.42
100044	313.26	-0.45
100045	299.32	0.35
100051	360.97	1.61
100052	164.5	1.2
100057	1656.48	1.78
100058	33013.29	74.22
100060	3843.21	9.27
100062	1485.88	2.26
100064	883.72	4.8
100079	12430.82	39.13
100089	1880.75	6.17
100093	606	4.58
100095	510.17	-1.05
100100	20053.15	63.33
100102	153.65	-0.75
100103	188	-0.94
100105	181.11	0.91
100111	147.43	-3.12
100117	174.58	-1.53
100120	24389.94	72.67
100130	26478.63	62.01
100137	198147.7	104.11
100145	1200.46	4.92
100146	3317.82	24.17
100151	300.78	-0.94
100159	160.92	0.52
100160	224.7	-0.75
100172	1156.54	6.97
100181	4062.45	10.95
100182	90.93	-1.8
100184	4469.35	16.97
100195	13346.6	40.79
100214	1558.79	15.3
100215	2191.49	15.4
100216	373.08	2.35
100244	526.39	3.12
100249	98106.17	90.47
100259	1412.51	11.68
100260	648.7	3.08
100269	398.77	-1.56
100277	158.65	-0.69
100278	686.53	3.51
100288	134.73	-0.47
100289	240.11	-0.98
100295	209.44	0.72
100297	706.59	6.1
100302	523.42	3.35
100309	219.83	-1.86
100312	118.91	-3.09
100313	13902.92	44.26
100328	2705.77	7.22
100336	266.21	-0.61
100340	17651.83	24.4
100344	7816.97	33.74
100348	228750.97	77.09
100352	268.67	1.5
100356	8964.16	21.67
100357	685.63	2.93
100365	414.37	0.34
100369	1423.5	8.73
100384	17762.03	60.01
100385	15792.92	54.06
100388	306.25	0.57
100390	228785.56	60.48
100398	791.71	4.05
100403	8569.27	46.08
100404	200.22	-0.5
100405	1677.54	7.7
100410	3221.08	28.12
100415	1087.98	4.63
100419	221.12	-0.65
100423	31889.31	23.95
100426	106.35	-0.06
100430	9386.51	32.51
100431	1857.5	6.6
100436	321.23	-1.12
100442	78609.81	66.8
100451	480.15	2.26
100454	11875.7	44.7
100455	779.15	3.82
100458	226.25	0.55
100460	25764.92	48.77
100472	815.52	5.16
100473	403.7	3.08
100479	216.71	1.4
100485	4147.07	17.18
100492	228.55	-0.4
100494	1065.11	3.05
100503	26711.23	99.84
100510	8453.89	28.16
100511	973.49	6.51
100513	762.59	4.25
100524	5462.8	30.96
100525	192.19	-1.33
100529	236.64	0.8
100537	14988.74	48.86
100543	12787.93	42.56
100547	503.71	3.97
100552	53449.65	86.31
100557	530.23	-0.2
100558	225.47	0.3
100566	241.93	1.8
100569	320.72	-0.22
100570	2525.96	11.76
100572	284.65	1.47
100575	423.18	0.56
100583	224.75	-0.58
100589	6568.58	47.53
100591	5928.6	44.41
100594	838.23	0.18
100596	4216.43	14.37
100608	257.75	-0.9
100611	353.84	-0.85
100627	259442.91	88.98
100628	300.45	1.24
100629	40606.54	75.77
100635	2652.29	5.8
100636	30822.94	56.3
100639	4892.31	18.06
100641	27320.52	26.8
100642	473.71	2.64
100645	228.64	-0.59
100646	250.28	0.59
100658	158.34	-0.47
100659	745.07	7.8
100664	47285.02	102.81
100671	2218.7	10.7
100679	467.77	1.77
100680	589.38	2.88
100681	466.13	1.6
100687	868.79	4.93
100689	2681.04	9
100691	4269.56	32.63
100694	2448.03	14.47
100702	189683.65	97.89
100709	5384.65	28.66
100710	40880.34	71.07
100717	314.26	-0.37
100719	271.92	1.24
100722	2241.84	12.75
100727	246.68	0.66
100736	137.5	0.74
100747	204.5	0.46
100748	966.34	1.98
100757	9204.55	19.13
100762	235.58	1.8
100765	7156.45	59.51
100771	1425806.71	79.36
100777	8919.87	50.18
100781	300.92	-1.06
100787	2810.07	2.01
100788	1175.81	4.45
100794	101.08	-0.34
100801	395.39	1.12
100812	1307.48	5.14
100814	674.29	2.62
100819	922.29	4.04
100825	1126.72	6.92
100826	334101.67	101.29
100830	239.11	0.5
100837	354.92	4.11
100840	54723.76	65.83
100845	30798.33	64.32
100857	283.76	2.34
100869	201.45	0.75
100876	135.06	0.19
100883	190.99	-0.35
100884	411.17	0.58
100890	487.82	2.57
100892	4885.1	20.62
100894	244619.57	88.81
100901	45384.01	30.71
100912	1534.33	6.09
100914	4141.81	10.65
100925	251.39	-1.82
100935	240.18	-1.03
100939	4266	7.06
100942	2750.3	20.14
100943	4772.21	15.55
100945	5655.85	5.73
100949	2244.25	11.74
100951	6223.62	27.49
100952	334.71	0.96
100955	22855.97	89.77
100963	4122.06	19.16
100966	9479.41	29.48
100969	11968.32	55.24
100972	271.38	-2.04
100983	224.3	0.9
100984	1484.92	7.2
100989	293.67	1.04
100993	5239.76	28.45
100996	592.1	3.71
100997	1275.88	6.77
101011	279.47	0.39
101012	2516.49	15.37
101018	4920.03	8.3
101019	1163.24	13.34
101020	6864.25	14.35
101026	3207.49	26.29
101027	896.57	2.58
101034	420.78	-1.27
101039	6682.72	18.04
101042	5432.83	18.4
101044	279.51	0.88
101058	70751.39	94.01
101059	112.28	0.65
101060	4126.02	15.64
101065	6088.36	20.16
101068	26324.69	46.13
101070	14802.37	63.51
101072	5786.44	45.24
101083	157.99	1.23
101089	307.17	-1.05
101108	3186.12	13.54
101109	755.11	0.34
101113	312861.74	98.53
101114	991.92	5.91
101116	5064.52	9.03
101120	15298.27	49.82
101122	229.82	0.15
101123	13759.14	66.83
101125	54447.29	67.31
101126	13532.02	70.59
101140	5734.72	25.37
101144	106.25	-1.35
101145	108217.72	71.08
101150	1501.9	5.44
101157	248.11	-2.16
101173	1232.42	5.93
101185	3142.4	19.96
101191	3703.6	29.62
101192	10498.74	39.86
101193	3579.3	23.29
101194	5076.11	15.99
101196	17739.47	47.37
101200	791.86	1.52
101210	215.85	-1.26
101213	13473.28	77.49
101216	189.2	0.94
101220	34905.91	63.12
101231	124.65	-2.61
101239	40401.91	57.04
101242	1802.57	6.01
101251	244.81	-0.4
101252	340.83	2.16
101255	50583.55	90.5
101260	2604.16	13.89
101262	339.4	2.78
101263	593.58	2.13
101266	15514.15	61.86
101269	353.12	2.42
101287	54156	92.03
101293	13085.6	32.86
101300	3229.49	10.02
101304	1411.94	6.54
101310	18451.01	39.03
101319	150.97	-1.26
101320	5930.69	18.47
101331	1081.03	3.89
101333	5497.9	28.7
101336	156.86	-0.39
101339	11507.59	35.95
101347	161.69	0.23
101353	242.14	-1.49
101356	446.15	1.12
101359	151.3	-1.54
101361	289	-0.61
101365	509864.54	87.91
101368	463.88	2.77
101370	2063.55	20.7
101374	255.14	-1.25
101377	9165.12	30.08
101381	5794.86	26.54
101387	2316	2.84
101391	294.41	2.26
101395	130.46	2.3
101397	2895.69	30.9
101403	256.83	1.67
101404	1006.65	5.38
101408	822.44	4.24
101413	140.69	0.08
101431	910.18	0.25
101441	87847.87	108.88
101444	3471.66	18.61
101445	8571.34	32.27
101446	546	0.12
101447	6827.25	19.46
101482	249.71	0.5
101487	954.93	4.97
101498	2901.76	8.66
101499	13081.48	33.67
101505	2476.06	8.02
101506	266.96	-0.13
101509	1391.8	5.53
101511	15517.06	66.1
101513	146.18	-0.45
101518	187.81	0.23
101520	588.33	1.56
101526	7495.92	16.58
101527	9228.86	19.25
101538	117.58	0.69
101549	933.35	-0.03
101552	304.22	-1.39
101555	274.1	-0.39
101559	255.8	1.04
101561	128.96	0.26
101566	411.07	1.42
101569	301.88	2.21
101570	2304.41	6.31
101574	12844.08	50.92
101575	210.27	2.1
101584	1464.15	6.49
101588	34372.55	90.98
101589	1856.53	15.88
101592	1650.85	12.18
101594	1576.55	11.74
101597	248.93	-2.12
101598	439.78	-0.85
101603	4613.42	15.17
101611	4159.43	33.3
101616	590.38	-0.91
101623	156.05	3.59
101641	803.5	0.36
101645	3105.97	12.98
101647	219.89	-0.2
101648	314.26	0.25
101654	994.73	2.78
101655	2041.72	14.96
101663	579.68	0.92
101664	8717.86	33.28
101666	1536.15	9.34
101670	5428.91	21.18
101676	5191.31	27.7
101678	109.81	0.43
101680	2199.79	6.52
101686	3477.58	15.87
101687	7048.68	41.81
101688	236.54	-0.6
101692	23150.61	73.64
101693	11930.92	55.09
101695	156.6	-1.36
101703	7317.43	34.71
101711	9069.41	49.64
101721	378.57	-0.37
101722	334.61	-0.86
101725	8896.65	65.13
101736	1165.86	8.77
101738	167.15	-1.7
101742	249.93	-0.45
101745	336.11	-0.14
101754	28123.27	82.4
101755	106753.68	80.61
101757	1477.73	4.06
