Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
101353	420.56	1.2
101356	1247.39	2.03
101359	877.42	2.53
101361	377.63	-0.1
101365	828710.1	104.02
101368	1408.83	6.17
101370	4712.54	19.21
101374	1217.75	-1.59
101377	16735.55	40.1
101381	8478.32	37.41
101387	3277.44	2.05
101391	1141.38	3.38
101395	264.25	-0.34
101397	3545.02	14.88
101403	138.99	-2.75
101404	1052.07	4.22
101408	627.54	1.8
101413	289.98	2.11
101431	1250.9	1.24
101441	68823.19	82.87
101444	4302.09	19.77
101445	12017.44	10.35
101446	498.95	-0.03
101447	7845.45	38.03
101482	317.64	0.6
101487	1881.59	6.37
101498	3360.24	6.05
101499	21166.91	67.04
101505	2267.82	11.4
101506	205.04	-1.2
101509	933	6.56
101511	12663.49	56.77
101513	307.69	-0.47
101518	380.11	0.94
101520	302.02	-1.44
101526	15643.35	15.27
101527	10691.07	26.28
101538	1086.63	7.72
101549	856.44	0.32
101552	765.52	5.35
101555	205.33	-0.34
101559	783.3	3.73
101561	171.66	-0.59
101566	486.74	1.63
101569	405.31	3.31
101570	1960.93	4.24
101574	15001.83	57.58
101575	204.86	0.33
101584	1813.81	9.89
101588	53721.48	80.09
101589	2896.34	19.95
101592	2536.21	7.69
101594	2035.12	8.03
101597	1095.12	1.63
101598	563.61	0.8
101603	4552.87	18.96
101611	4206.45	23.5
101616	421.31	1.95
101623	291.19	1.35
101641	1512.3	2.1
101645	3459.24	15.46
101647	219.22	-1.31
101648	976.4	6.13
101654	795.82	4.52
101655	2870.76	11.39
101663	1054.54	1.19
101664	11464.12	21.01
101666	1024.95	3.59
101670	10026.61	35.22
101676	9243.48	43.33
101678	184.66	-0.02
101680	4728.85	27.18
101686	5353.93	24.01
101687	7129.83	32.04
101688	330.28	-0.29
101692	32024.33	85.89
101693	17425.67	60.88
101695	245.64	-0.3
101703	8637.26	25.69
101711	12220.28	42.74
101721	721.23	1.6
101722	493.43	1.99
101725	15087.69	64.22
101736	625.08	2.36
101738	174.63	-0.76
101742	177.62	0.99
101745	399.39	1.23
101754	44115.95	113.18
101755	140429.43	84.83
101757	647.83	1.42
101759	690.82	3.86
101760	691.47	3.09
101762	297.76	-0.66
101768	800.5	-0.09
101775	549.17	0.91
101777	152.94	0.8
101781	15257.98	78.4
101783	475.16	0.68
101798	1067454.02	102.1
101799	457.75	1.68
101800	665.77	2.81
101802	1467.95	5.12
101811	325520.67	88.88
101814	310.09	0.2
101815	38282.15	58.63
101821	1462.92	8.71
101835	18152.48	16.14
101843	404.75	2.17
101844	24408.22	74.7
101845	288.67	0.71
101854	142.07	-0.37
101855	650.53	4.25
101860	174.02	0.49
101862	20771.89	27.54
101863	800.01	-0.79
101867	86648.63	63.17
101876	402.49	0.93
101878	246.01	0.02
101887	19633.96	80.72
101893	17685.48	30.24
101899	1215.5	4.2
101908	2461.41	7
101912	316.67	-0.23
101913	237.69	0.18
101917	177.38	0.28
101929	1209.97	6.53
101930	381.69	0.58
101931	40811.06	55.38
101946	66350.36	99.33
101948	434.69	0.31
