Reporter Identifier	VALUE	S_N_P/4a-2_OKhymenets_220905
100002	58790.33	65.08
100003	291.52	-2.26
100027	240.88	-0.08
100036	982.27	4.33
100037	15121.39	33.48
100039	5428.88	17.26
100044	214.05	-1.15
100045	284.2	-0.88
100051	264.9	0.49
100052	206.81	1.09
100057	1423.36	3.87
100058	40686.48	62.8
100060	3373.58	12.69
100062	615.86	1.11
100064	758.42	4.58
100079	8744.85	42.04
100089	1786.77	5.28
100093	154.59	-1.46
100095	469.29	-1.63
100100	15620.57	55.62
100102	47.15	0.69
100103	129.79	-1.92
100105	320.44	2.7
100111	172.15	-0.08
100117	198.67	0.09
100120	22136.07	63.91
100130	22909.6	47.92
100137	225661.13	82.16
100145	719.21	4.28
100146	3756.39	23.4
100151	509.92	0.12
100159	309.56	1.64
100160	247.29	0.73
100172	720.3	3.83
100181	2971.09	17.98
100182	427.77	1.35
100184	5331.61	14.07
100195	11048.07	23.16
100214	557.45	3.83
100215	2013.76	8.57
100216	157.01	-0.67
100244	186.94	1.32
100249	42535.88	52.07
100259	1328.95	11.43
100260	362.3	-0.34
100269	377.86	0.62
100277	154.78	0.33
100278	1117.75	6.82
100288	151.52	-1.23
100289	205.37	-1.74
100295	154.79	-0.53
100297	526.05	12.34
100302	495.11	2.64
100309	456.79	-0.65
100312	197.93	-2.08
100313	12685.93	55.01
100328	1597.87	8.86
100336	260.99	0.68
100340	18335.57	25.29
100344	8966.68	21.17
100348	230798.54	52.83
100352	162.17	2.55
100356	7764.23	18.17
100357	1245.2	3.27
100365	283.58	0.84
100369	235.27	-0.2
100384	22244.92	42.03
100385	11988.08	47.97
100388	368.24	-1.19
100390	149270.32	66.38
100398	809.91	3.94
100403	7310.55	27.82
100404	249.35	0.93
100405	1213	6.08
100410	2542.48	22.34
100415	308.71	1.01
100419	147.48	0.13
100423	32140.6	19.05
100426	198.1	-0.62
100430	10135.53	19.88
100431	1930.66	8.28
100436	185.36	0.14
100442	92840.33	60.33
100451	1035.97	6.31
100454	7687.52	36.29
100455	279.66	0.69
100458	155.15	0.86
100460	24040.96	61.75
100472	625.11	2.69
100473	155.02	-1.4
100479	101.89	0.05
100485	2563.37	9.57
100492	190.31	-1
100494	1003.49	3.42
100503	16610.23	46.71
100510	9168.75	21.51
100511	209.38	1.24
100513	1056.8	6.56
100524	6223.87	23.95
100525	161.62	-1.91
100529	252.2	2.43
100537	17562.21	54.71
100543	11904.31	29.75
100547	157.22	1.91
100552	39727.29	67.66
100557	785	-0.58
