Probe_ID	Gene_ID	Signal_P/4a-2_OKhymenets_220905	SDEV_P/4a-2_OKhymenets_220905	CV_P/4a-2_OKhymenets_220905	S_N_P/4a-2_OKhymenets_220905	Flags_P/4a-2_OKhymenets_220905	Assay_Normalized_Signal_P/4a-2_OKhymenets_220905	Row_P/4a-2_OKhymenets_220905	Column_P/4a-2_OKhymenets_220905	X_P/4a-2_OKhymenets_220905	Y_P/4a-2_OKhymenets_220905	CL_Sig_P/4a-2_OKhymenets_220905	CL_Sig_Error_P/4a-2_OKhymenets_220905	CL_Raw_P/4a-2_OKhymenets_220905	CL_Raw_SDEV_P/4a-2_OKhymenets_220905	Image_Area_P/4a-2_OKhymenets_220905
100002	hCG1643199.4	58790.33	903.35	0.04	65.08	0	85.4	189	77	1006.82	1101.88	60727.28	218.96	68294.06	0	2
100003	hCG2041918	291.52	291.52	0.44	-2.26	1	0.34	45	39	606.41	844.58	-874.02	260.56	10749.17	0	1
100027	hCG31426.2	240.88	240.88	13.28	-0.08	1	0.28	109	152	1806.4	1529.58	21.77	126.17	5319.56	0	1
100036	hCG1979099.1	982.27	226.86	0.24	4.33	0	1.16	70	7	266.98	1111.19	1496.85	148.46	7749.26	0	1
100037	hCG42687.4	15121.39	451.65	0.05	33.48	0	21.96	173	129	1557.32	934.3	10156.91	138.21	16218.32	0	2
100039	hCG2015782	5428.88	314.46	0.07	17.26	0	6.39	114	54	767.7	1579.97	3713.22	157	10228.16	0	1
100044	hCG36953.3	214.05	214.05	0.87	-1.15	1	0.25	68	51	735.52	1089.52	-77.7	169.81	7285.6	0	1
100045	hCG1776836.3	284.2	284.2	1.14	-0.88	1	0.41	153	123	1496.14	723.6	-262.04	126.9	6122.91	0	2
100051	hCG1642464.3	264.9	264.9	2.06	0.49	1	0.31	75	157	1861.99	1169.19	73.46	135.29	5800.81	0	1
100052	hCG22993.3	206.81	189.25	0.92	1.09	0	0.3	146	139	1664.79	650.37	290.13	120.23	6258.82	0	2
100057	hCG1793655.1	1423.36	367.85	0.26	3.87	0	1.68	18	77	1013.81	559.11	1150.98	197.62	9763.81	0	1
