Probe_ID	Gene_ID	Signal_P/4a-1_OKhymenets_220905	SDEV_P/4a-1_OKhymenets_220905	CV_P/4a-1_OKhymenets_220905	S_N_P/4a-1_OKhymenets_220905	Flags_P/4a-1_OKhymenets_220905	Assay_Normalized_Signal_P/4a-1_OKhymenets_220905	Row_P/4a-1_OKhymenets_220905	Column_P/4a-1_OKhymenets_220905	X_P/4a-1_OKhymenets_220905	Y_P/4a-1_OKhymenets_220905	CL_Sig_P/4a-1_OKhymenets_220905	CL_Sig_Error_P/4a-1_OKhymenets_220905	CL_Raw_P/4a-1_OKhymenets_220905	CL_Raw_SDEV_P/4a-1_OKhymenets_220905	Image_Area_P/4a-1_OKhymenets_220905
100002	hCG1643199.4	92016.69	901.63	0.04	102.06	0	74.04	189	77	993.28	1111.82	114048.16	341.7	125387.06	0	2
100003	hCG2041918	167.73	167.73	0.44	-2.27	1	0.12	45	39	592.04	854.23	-470.86	176.3	6981.54	0	1
100027	hCG31426.2	222.37	222.37	2.2	0.46	1	0.16	109	152	1794.28	1539.05	15.26	166.66	7026.45	0	1
100036	hCG1979099.1	1023.53	360	0.36	2.84	0	0.73	70	7	254.4	1120.11	1227.36	176.72	8630.72	0	1
100037	hCG42687.4	24280.72	1283.57	0.07	18.92	0	19.54	173	129	1543.51	943.03	17848.03	270.42	28999.92	0	2
100039	hCG2015782	6843.61	405.5	0.08	16.88	0	4.91	114	54	753.26	1588.84	5526.62	213.92	14436.89	0	1
100044	hCG36953.3	1489.73	351.65	0.24	4.24	0	1.07	68	51	722.6	1098.6	1512.55	197.72	9866.1	0	1
100045	hCG1776836.3	439.92	240.15	0.55	1.83	0	0.35	153	123	1482.86	733.06	270.41	217.62	9660.79	0	2
100051	hCG1642464.3	144.61	144.61	1.6	0.62	1	0.1	75	157	1848.89	1179.02	-30.15	175.04	7364.52	0	1
100052	hCG22993.3	93.93	93.93	1.37	-0.73	1	0.08	146	139	1650.8	660.53	-210.99	221.34	9362.57	0	2
100057	hCG1793655.1	2170.66	648.7	0.3	3.35	0	1.56	18	77	999.97	568.68	1874.28	208.07	10686.59	0	1
100058	hCG33215.3	58236.52	811.65	0.05	71.75	0	46.86	137	26	450.83	555.57	57067.66	279.36	67089.28	0	2
