Probe_ID	Gene_ID	Signal_P/2a-2_OKhymenets_220905	SDEV_P/2a-2_OKhymenets_220905	CV_P/2a-2_OKhymenets_220905	S_N_P/2a-2_OKhymenets_220905	Flags_P/2a-2_OKhymenets_220905	Assay_Normalized_Signal_P/2a-2_OKhymenets_220905	Row_P/2a-2_OKhymenets_220905	Column_P/2a-2_OKhymenets_220905	X_P/2a-2_OKhymenets_220905	Y_P/2a-2_OKhymenets_220905	CL_Sig_P/2a-2_OKhymenets_220905	CL_Sig_Error_P/2a-2_OKhymenets_220905	CL_Raw_P/2a-2_OKhymenets_220905	CL_Raw_SDEV_P/2a-2_OKhymenets_220905	Image_Area_P/2a-2_OKhymenets_220905
140988	hCG1994792	3766.04	126.95	0.07	29.67	0	6.79	169	143	1708.07	899.81	4143.54	154.28	9578.55	0	2
140995	hCG2039169	19443.85	434.86	0.05	44.71	0	29.55	32	69	926.34	715.19	15824.35	169.67	23584.89	0	1
140996	hCG19065.3	897.49	208	0.24	4.31	0	1.62	237	27	479.5	1623.22	584.65	158.24	6382.79	0	2
141001	hCG38279.3	18154.77	256.74	0.05	70.71	64	27.59	61	53	754.63	1025.3	26489.61	158.45	32408.32	0	1
141002	hCG20279.3	349.89	159.47	0.46	2.19	0	0.63	201	30	506.21	1239.8	462.07	154.94	6134.56	0	2
141003	hCG1756650.1	258.64	258.64	3.12	0.32	1	0.39	77	94	1189.95	1198.07	153.04	114.48	5908.89	0	1
141012	hCG1647196.3	13551.36	190.5	0.05	71.13	0	20.59	105	43	648.41	1495.55	15402.46	143.23	21368.43	0	1
141019	hCG24660.2	226.8	226.8	0.83	-1.21	1	0.41	146	66	891.61	654.88	-253.88	176.98	6324.57	0	2
141022	hCG33090.3	203.49	180.07	0.89	1.13	0	0.31	67	43	647.95	1089.14	255.05	113.37	5933.34	0	1
141023	hCG39160.2	3249.86	196.68	0.08	16.52	0	4.94	47	122	1485.24	874.57	4496.34	140.91	11413.8	0	1
