Reporter Identifier	VALUE	S_N_P/2a-3_OKhymenets_220905
101356	1003.49	0.65
101359	265.12	1.02
101361	772.37	0.48
101365	1231392.23	81.76
101368	2047.1	9.27
101370	5907.1	27.08
101374	733.47	-2.27
101377	19658.98	53.9
101381	12010.98	47.42
101387	4471.84	4.23
101391	1015.39	3.96
101395	468.38	1.34
101397	5637.91	11.87
101403	311.63	-0.91
101404	1531.31	3.1
101408	904.63	3.7
101413	431.6	-0.08
101431	842.39	-0.05
101441	182402.23	91.47
101444	4148.92	19.89
101445	16167.67	41.76
101446	580.01	-1.03
101447	10223.81	34.74
101482	435.47	0.44
101487	2024.58	18.53
101498	6363.41	12.25
101499	28517.27	74.71
101505	2297.06	12.12
101506	148.51	0.8
101509	1498.93	3.29
101511	16894.95	57.95
101513	167.75	0.99
101518	255.42	-1.17
101520	326.38	1.5
101526	14545.9	19.44
101527	8603.22	20.87
101538	377.71	2.58
101549	1327.8	-1.17
101552	431.52	1.87
101555	969.31	3.42
101559	264.75	0.5
101561	440.46	1.31
101566	383.84	1.76
101569	259.31	0.98
101570	3170.64	9.72
101574	18135.34	36.73
101575	208.89	-1.43
101584	2252.6	10.18
101588	80703.6	94.98
101589	3391.58	16.42
101592	3634.6	6.45
101594	3634.59	21.27
101597	169.29	0.92
101598	306.76	-0.08
101603	6569.1	28.11
101611	7605.8	40.8
101616	1390.13	3.16
101623	1433.2	6.98
101641	1227.45	1.68
101645	4564.16	13.17
101647	154.85	-0.65
101648	924.78	2.89
101654	2243.3	3.28
101655	2831.71	5.78
101663	882.87	0.54
101664	17247.64	42.74
101666	978.58	2.44
101670	15371.95	37.92
101676	12148.52	48.91
101678	393.34	1.93
101680	5737.56	20.17
101686	6659.78	13.4
101687	12308.49	35.86
101688	296.42	0.35
101692	46761.55	83.08
101693	20785.03	49.18
101695	276.88	0.97
101703	9435.69	29.76
101711	19600.41	78.81
101721	353.52	-0.84
101722	524.24	1.51
101725	17633.4	71.87
101736	1257.56	2.25
101738	77.19	-2.41
101742	996.79	5.29
101745	317.05	-0.09
101754	61074.41	93.7
101755	197958.25	76.33
101757	926.36	2.65
101759	1502.11	6.86
101760	485.53	1.6
101762	1497.38	4.74
101768	355.86	-2.35
101775	1769.5	2.77
101777	807.25	2.46
101781	17151.68	72.87
101783	1133.06	2
101798	1583918.03	122.54
101799	276.56	-0.47
101800	1426.3	7.74
101802	2263.93	6.75
101811	482281.62	99.72
101814	302.41	-2.56
101815	58486.56	64.28
101821	1404.86	3.15
101835	22753.97	19.74
101843	595.99	2.06
101844	44006.69	63.22
101845	386.83	-0.01
101854	351.84	1.08
101855	1068.55	9.35
101860	197.94	-0.95
101862	31461.5	58.1
101863	363.68	1.46
101867	162135.44	92.19
101876	392.29	0.13
101878	299.49	-0.56
101887	26843.84	90.07
101893	20559.24	43.01
101899	1108.07	4.17
101908	2827.91	13.44
101912	388.98	-0.39
101913	309.93	0.01
101917	225.95	1.04
101929	2230.19	8.74
101930	503.75	0.38
101931	57088.99	75.68
101946	91622.21	63.15
101948	446.05	-0.86
101949	3414.24	18.27
101955	485.65	1.83
101958	28694.43	18.67
101962	16962.55	34.59
101965	4277.91	10.87
101973	90976.65	82.24
101974	104660.09	129.56
101979	8563.51	31.06
101980	27532.74	43.13
101985	26543.94	76.01
101987	7912.47	22.29
101998	400.54	0.59
102001	72437.36	91.55
102004	568.12	-0.31
102010	514.96	1.34
102013	2140.6	8.47
102034	399.28	2.65
102036	4237.37	2.6
102037	225103.61	76.87
102040	2037.49	14.97
102046	23626.07	89.91
102047	17004.98	44.38
102049	761.29	2.32
102051	912.62	3.18
102059	2923.13	9.22
102060	54843.63	123.04
102063	4904.5	48.1
102071	3972.12	23.32
102077	294.98	-0.18
102081	395.95	2.43
102085	713.74	0.07
102086	15421.29	31.51
102088	221.85	0.26
102090	706.15	1.49
102092	6900.09	13.66
102096	205.59	1.24
102108	423.73	2.02
102116	3480.05	17.92
102117	22860.78	74.72
102125	61164.55	84.27
102126	241.21	-2.22
102133	7985.35	22.35
102135	555.52	-1
102137	457.92	1.09
102138	21347.31	44.21
102140	676.07	2.92
102148	902.46	3.57
102152	201.5	-0.45
102161	6862.07	24.23
102162	2120.14	21.69
102164	7236.93	29.26
102168	530.42	-1.08
102174	1458.46	3.86
102175	18858.34	22.16
102177	228.84	0.81
102183	4175.95	3.27
102204	767.03	3.97
102205	1307.59	4.03
102207	25553.79	46.49
102210	13283.08	54.09
102211	6465.79	20.64
102213	851.18	-0.42
102218	58263.16	61.82
102222	299.9	-0.4
102225	130.31	-0.69
102229	15727.74	9.48
102231	846.35	-0.27
102233	340337.42	94.49
102234	615.75	1.27
102236	11512.53	71.53
102241	674.18	-1.26
102244	15982.14	35.23
102249	292.7	0.72
102255	266.95	0.31
102257	93790.86	87.9
102263	439.19	0.72
102267	32433.61	76.49
102274	3104.27	9.38
102277	394.55	3.68
102279	691.92	-1.3
102286	823.79	-0.8
102295	388.62	-0.78
102302	4228.04	16.78
102305	433	3.53
102314	3913.83	25.12
102323	139.09	-0.28
102330	605.67	2.12
102334	5500.44	31.07
102335	12834.78	26.7
102337	7405.9	18.82
102338	79305.76	69.41
102341	317.46	-0.62
102342	18351.84	72.21
102344	11738.78	40.24
102347	317.49	-0.59
102348	2346.26	12.96
102353	853.23	2.51
102355	29735.97	62.24
102384	2175.33	9.07
102387	3786.63	11.67
102388	23824.25	81.61
102393	2395.26	14.56
102396	41932.74	26.63
102397	558588.49	109.19
102403	1264.14	4.81
102415	53729.79	52.76
102419	17365.54	49.28
102421	471.05	1.97
102431	254.53	0.55
102437	78928.86	87.37
102438	26595.88	92.44
102441	314.27	-2.06
102445	3313.31	6.61
102450	675.46	2.18
102451	2495.16	7.52
102454	15851.51	59.7
102459	234.15	0.49
102465	85144.88	70.41
102474	797.69	2.5
102477	1160.94	1.11
102482	6253.88	34.9
102483	52846.1	132.33
102484	201058.89	64.44
102488	3718.37	6.66
102491	27287.14	94.01
102492	21646.51	45.64
102498	171.15	-0.6
102503	43073.64	43.29
102506	941.39	0
102514	731052.19	83.94
102516	263.37	1.72
102518	1997769.51	106.48
102521	198.82	1.25
102523	1981.94	-0.71
102525	755119.72	42.76
102539	154.13	-0.44
102551	42782.68	78.54
102557	792.01	2.95
102558	11959.08	36.17
102559	2524.15	16.57
102560	1139.99	0.51
102563	9338.65	39.27
102564	15529.69	41.94
102565	12868.66	33.16
102571	5663.49	19.27
102572	733.23	2.54
102581	2619.49	6.83
102592	5640.27	4.97
102596	37808.56	71.91
102597	1153.84	6.84
102598	39137.45	64.47
102603	401.53	-0.2
102604	126083.84	85.53
102610	6010	9.09
102617	244341.56	94.43
102622	1486.36	3.3
102623	1493.43	3.75
102625	708.79	2.51
102627	7063.48	35.29
102632	28614.15	48.89
102647	5729.44	16.56
102652	3304.16	7.22
102654	1639.75	7.3
102661	4298.91	18.34
102664	3852.2	21.15
102667	825.26	1.45
102670	362.58	0.53
102684	759.62	-0.22
102688	35211.76	76.52
102693	654.88	-0.27
102700	238.86	-1.46
102706	171203.89	145.87
102709	6760.33	18.05
102711	13271.85	15.99
102718	21204.62	30.32
102721	21608.91	11.72
102723	17656.67	70.24
102727	9149.29	19.85
102730	291.68	1
102731	4230.13	9.76
102732	348295.36	84.85
102734	2605.39	13.77
102739	694.81	3.72
102753	7959.51	59.99
102754	2207.17	4.52
102756	249.83	-0.45
102759	215.63	1.22
102762	1452.51	5.06
102769	235.22	-2.3
102776	346.46	-0.07
102778	2181.77	3.85
102783	9540.24	10.95
102786	621.68	1.72
102788	21523.3	56.6
102789	1839.21	6.88
102792	423.3	0.02
102794	1002.89	3.88
102795	1245.74	0.95
102817	497.59	0.54
102818	1013.79	8.13
102820	303.24	1.17
102823	634.53	2.5
102824	475.81	2.05
102826	3563.65	11.41
102828	29049.87	63.25
102833	1055.01	3.86
102834	451.12	0.04
102835	316.95	-0.86
102836	1276.12	0.06
102841	141456.77	126.61
102842	3503.97	9.69
102845	13765.31	23.37
102846	2311.56	5.69
102848	2609.55	22.09
102850	2232.99	1.83
102862	1408.87	5.56
102875	90173.1	119.17
102878	332.23	0.59
102881	519.79	2.38
102888	3401.59	-0.32
102896	978.68	7.44
102899	803.92	0.97
102901	663.09	2.08
102904	6278.31	28.29
102907	30064.09	28.31
102910	35395.31	69.47
102914	1094.22	3.66
102915	18888.04	55.29
102916	17398.7	84.15
102924	11524.01	68.1
102926	1184.27	2.37
102937	522664.38	108.13
102939	288.09	1.08
102944	2955.59	9.21
102945	586.25	1.82
102952	315.27	0.18
102959	254.48	1.31
102967	14759.56	32.89
102968	1515.3	5.36
102971	1383.51	0.01
102972	1242	4.63
102973	348.21	-1.83
10298121	782.96	2.37
102988	3131.51	10.96
102997	2298.56	2.78
102999	338.01	-1.29
103002	888.23	3.99
103003	232.55	-0.24
103010	6912.44	13.04
103013	4499.47	16.4
103021	9020.77	45.59
103022	110.31	-0.86
103029	323.65	0.32
103030	189.38	1.13
103034	12750.31	43.48
103043	1056.44	3.59
103054	675.42	-0.7
103058	902.87	-0.38
103069	3402.15	11.3
103070	258.29	1.02
103073	231.55	-1.35
103079	2713.78	5.87
103080	415.6	-0.98
103082	348.35	0.4
103085	313375.82	74.08
103095	484163.48	107.75
103097	1877525.56	112.9
103100	2873.05	14.97
103102	2603.39	10.83
103103	1687.32	7.75
103105	182.54	0.81
103107	1035.43	3.39
103109	2666.53	8.33
103111	245.48	-0.51
103113	5036.8	23.89
103115	146.11	1.01
103117	2215.17	7.3
103150	52979.45	49.14
103152	459.08	-0.23
103153	1583.72	5.15
103159	555.92	-0.34
103164	279.31	1.74
103169	20278.74	44.51
103171	176.54	0.13
103183	20152.77	61.06
103185	20596.04	51.16
103193	16330.69	69.53
103201	49373.54	90.17
103206	10873.38	23.64
103211	1859.49	2.02
103212	353.21	0.24
10321330	1767.47	3.53
103214	6200.35	8.87
10322069	244.24	0.41
103225	121252.11	93.45
103227	643.12	-1.27
103232	6139.87	42.64
103235	222.04	0.19
103239	7651.06	18.94
103241	1340.19	-0.86
103252	4719.76	22.37
103254	344.33	-2.43
103259	522.68	-0.04
103260	172.29	-3.05
103264	5457.09	32.98
103269	381.07	2.27
103271	636.95	2.43
103273	1848.99	7.32
103279	3459.75	13.5
103288	455.5	-0.59
103291	24754.58	69.12
103297	214.71	-0.49
103301	1302.45	4.31
103305	1277.63	0.35
103306	4505.38	21.1
103310	380.78	0.79
103318	1058.21	0.65
103331	1067.05	1.11
103341	13137.84	32.67
103342	243.66	0.86
103344	1317.09	3.35
103350	65563.59	102.49
103355	434.25	2.66
103357	54894.27	27.88
103366	123973.62	115.49
103367	868.66	4.27
103382	10010.87	21.6
103384	12474.74	52.08
103392	16129.08	38.34
103394	2284.03	5.79
103395	7711.89	65.82
103396	965.19	2.76
103401	1202.05	4.84
103403	323.88	-1.71
103404	3652.16	3.57
103406	7355.09	38.1
103409	23035.82	65.16
103413	59223.31	72.98
103415	79815.92	61.42
103418	16167.54	56.86
103423	17080.16	73.55
103430	21452.56	30.61
103431	2692.32	12.34
103434	183.33	0.43
103435	7572.77	30.82
10343858	548.8	3.22
103440	855.87	1.9
103441	9827	54.49
103444	716.07	0.6
103446	21908.84	53.82
103451	19788.36	53.21
103457	4369.08	6.08
103458	733.04	-0.05
103461	13106.95	25.82
103463	10795.86	44.82
103465	219035.95	49.72
103467	249.77	0.4
103468	5054.64	13.43
103474	3526.41	5.54
103475	1575.94	7.55
103476	7748.17	50.26
103481	8492.5	61.35
103491	56060.11	116.38
103492	345.48	1.2
103516	6743.69	19.31
10351750	400.27	-1.77
103520	1433.51	8.73
103522	12220.07	39.55
103524	437.86	0.9
10353180	170.95	0.38
103532	263.26	-0.29
103536	295.36	0.17
103537	2332.94	9.65
103547	1097.64	-0.21
103552	481.2	2.11
103553	4557.32	6.69
103554	471.24	3.75
10355470	3750.72	22.9
103558	349.97	-1.37
103562	896.63	-0.25
103563	947.71	-0.29
103564	246.38	2.15
103567	1023.67	4.96
103579	5339.89	21.23
10357919	482.13	1.96
103585	28245.33	82
103586	306.13	-0.71
103587	496888.36	125.91
103589	7939.5	16.76
103604	20326.07	42.34
