Probe_ID	Gene_ID	Signal_P/4a-3_OKhymenets_220905	SDEV_P/4a-3_OKhymenets_220905	CV_P/4a-3_OKhymenets_220905	S_N_P/4a-3_OKhymenets_220905	Flags_P/4a-3_OKhymenets_220905	Assay_Normalized_Signal_P/4a-3_OKhymenets_220905	Row_P/4a-3_OKhymenets_220905	Column_P/4a-3_OKhymenets_220905	X_P/4a-3_OKhymenets_220905	Y_P/4a-3_OKhymenets_220905	CL_Sig_P/4a-3_OKhymenets_220905	CL_Sig_Error_P/4a-3_OKhymenets_220905	CL_Raw_P/4a-3_OKhymenets_220905	CL_Raw_SDEV_P/4a-3_OKhymenets_220905	Image_Area_P/4a-3_OKhymenets_220905
100002	hCG1643199.4	91003.27	969.01	0.03	93.91	0	66.41	189	77	983.78	1107.76	113592.06	322.41	124091.51	0	2
100003	hCG2041918	175.45	175.45	0.46	-2.18	1	0.13	45	39	579.35	850.5	-527.57	157.9	6153.98	0	1
100027	hCG31426.2	379.97	178.57	0.47	2.13	0	0.28	109	152	1782.57	1530.92	279.86	125.53	5436.67	0	1
100036	hCG1979099.1	1173.9	309.17	0.27	3.8	0	0.87	70	7	239.78	1115.68	1387.82	180.64	9044.3	0	1
100037	hCG42687.4	23896.94	727.69	0.04	32.84	0	17.44	173	129	1535.78	937.96	19561.62	216.85	28262.18	0	2
100039	hCG2015782	6625.02	259.49	0.06	25.53	0	4.93	114	54	740.45	1584.26	6241.75	193.05	14219.81	0	1
100044	hCG36953.3	196.68	196.68	2.51	-0.4	1	0.15	68	51	708.27	1095.54	-193.01	179.29	7478.16	0	1
100045	hCG1776836.3	315.76	315.76	1.85	-0.54	1	0.23	153	123	1473	725.14	-236.53	167.41	7084.89	0	2
100051	hCG1642464.3	173.02	173.02	3.35	0.3	1	0.13	75	157	1835.4	1169.42	-26.65	123.18	5041.04	0	1
100052	hCG22993.3	215.65	215.65	0.52	-1.94	1	0.16	146	139	1643	651.07	-399.14	157.2	6436.04	0	2
100057	hCG1793655.1	2515.64	225.19	0.1	11.17	0	1.87	18	77	984.82	563.32	1890.74	190.42	9976.23	0	1
100058	hCG33215.3	65598.43	893.34	0.03	73.43	0	47.87	137	26	441.33	554.35	51006.51	239.52	59308.94	0	2
100060	hCG22998.3	1296.24	515.95	0.4	2.51	0	0.95	217	90	1121.47	1406.66	923.24	237.9	11550.72	0	2
100062	hCG2039675	1733.24	745.15	0.43	2.33	0	1.26	170	18	355.91	905.05	1505.09	199.23	10261.49	0	2
100064	hCG14966.2	405.87	287.24	0.71	1.41	0	0.3	172	116	1397.76	927.16	371.07	179.37	8240.82	0	2
100079	hCG2012240	13116.99	287.89	0.05	45.56	0	9.76	81	7	241.35	1233.83	12464.07	171.18	18996.5	0	1
100089	hCG22245.3	2815.13	268.55	0.11	10.48	0	2.09	13	134	1592.2	510.14	2345.2	150.99	8549.53	0	1
100093	hCG17268.3	174.58	172.63	0.99	1.01	0	0.13	204	90	1121.65	1268.57	120.52	171.58	7633.02	0	2
100095	hCG1817887.1	486.19	486.19	0.83	-1.2	1	0.36	7	35	536.43	446.47	-1001.38	203.25	7773.84	0	1
100100	hCG2005880	25424.04	342.46	0.05	74.24	0	18.91	101	23	411.8	1446.69	28260.92	202.22	35474.89	0	1
100102	hCG2042982	293.13	293.13	1.71	-0.58	1	0.21	211	11	281.83	1342.31	-208.8	152.65	6409.33	0	2
100103	hCG19199.3	317.73	104.46	0.33	3.04	0	0.24	45	4	209.19	850.06	365.63	126.35	5552.41	0	1
100105	hCG1652330.2	121.77	121.77	8.86	-0.11	1	0.09	43	23	409.3	829.19	-166.66	158.19	6528.79	0	1
100111	hCG22936.3	207.53	207.53	1.25	0.8	1	0.15	142	56	760.07	607.54	145.75	177	7916.21	0	2
100117	hCG2040797	290.62	290.62	6.11	0.16	1	0.21	214	108	1313.76	1374.63	1.22	176.47	7754.4	0	2
100120	hCG2006054	40981.71	556.7	0.03	73.62	0	29.91	131	82	1035.56	489.98	38086.66	242.25	47221.02	0	2
100130	hCG1818621.1	33981.67	499.37	0.05	68.05	0	25.28	30	117	1410.9	691.17	34593.63	234.98	43252.6	0	1
100137	hCG18905.3	356053.17	4053.92	0.03	87.83	0	259.83	156	84	1058.31	757.13	325131.43	515.58	341299.52	0	2
100145	hCG1777941.2	1406.11	214.15	0.16	6.57	0	1.03	175	2	188.27	958.17	1130.8	164	8219.12	0	2
100146	hCG2042386	8428.2	275.48	0.05	30.59	0	6.15	146	111	1345.73	650.49	9578.5	188.54	17368.05	0	2
100151	hCG37749.3	461.91	461.91	10.4	-0.1	1	0.34	214	109	1324.19	1374.59	-100.46	177.5	7701.7	0	2
100159	hCG18119.3	1331.66	133.88	0.11	9.95	0	0.97	145	131	1558.04	640.12	1345.08	151.75	7828.43	0	2
100160	hCG1643047.3	435.63	84.56	0.2	5.15	0	0.32	12	37	557.65	499.15	530.75	167.92	7645.1	0	1
100172	hCG1984846	2294.14	204.12	0.09	11.24	0	1.67	216	27	451.66	1395.18	1910.53	162.75	8888.89	0	2
100181	hCG1644761.3	4349.98	195.9	0.07	22.21	0	3.24	90	139	1644.47	1329.64	3557.24	152.55	9753.54	0	1
100182	hCG1817349.1	361.78	198.85	0.55	1.82	0	0.26	216	125	1494.52	1395.68	283.43	161.06	7284.07	0	2
100184	hCG19707.3	8298.29	195.6	0.06	42.42	0	6.17	74	27	451.19	1158.83	7822.27	164.35	14311.58	0	1
100195	hCG19232.3	17820.21	418.93	0.04	42.54	0	13	157	48	674.82	767.34	13633.75	192.81	21406.91	0	2
100214	hCG1773993.2	1728.1	114.81	0.07	15.05	0	1.26	222	138	1632.43	1458.5	1437.05	161.32	8375.47	0	2
100215	hCG19658.3	1974.5	216.98	0.12	9.1	0	1.47	38	75	964.67	775.39	1513.41	176.86	8986.37	0	1
100216	hCG16896.2	1013.91	184.66	0.19	5.49	0	0.75	86	44	633.58	1286.57	1114.11	179.87	8748.99	0	1
100244	hCG38837.3	762.49	199.13	0.26	3.83	0	0.56	229	69	898.52	1533.02	976.91	166.18	8180.19	0	2
100249	hCG2042122	99129.66	1598.66	0.04	62.01	0	72.34	186	147	1727.88	1075.98	84366.98	279.12	93413.27	0	2
100259	hCG1990058	1865.86	246.39	0.14	7.57	0	1.36	201	36	547.21	1236.16	2183.08	173.9	9683.86	0	2
100260	hCG2041407	275.19	275.19	0.93	-1.07	1	0.2	176	109	1323.15	969.93	-230.37	180.49	7713.54	0	2
100269	hCG2042042	262.92	262.92	0.54	-1.87	1	0.2	94	93	1155.42	1372.34	-451.45	207.63	8526.2	0	1
100277	hCG1746386.2	289.62	289.62	13.6	-0.07	1	0.21	210	73	940.95	1331.56	-89.34	165.9	7161.43	0	2
100278	hCG2043255	694.25	140.49	0.21	4.94	0	0.52	48	31	494.26	882.58	814.59	159.7	7528.84	0	1
100288	hCG15198.3	300.1	177.63	0.59	1.69	0	0.22	226	135	1600.31	1500.71	229.75	153.89	6891.73	0	2
100289	NM_018661.2	118.88	118.88	0.41	-2.46	1	0.09	102	138	1634.32	1456.79	-353.98	142.22	5601.36	0	1
100295	hCG38931.2	251.27	251.27	1.34	0.75	1	0.18	145	90	1122.05	640.16	182.21	199.58	9023.36	0	2
100297	hCG1817726.2	464.06	211.55	0.46	2.19	0	0.34	126	38	569.02	437.31	492.64	189.75	8850.42	0	2
100302	hCG1997291	678.01	102.84	0.16	6.59	0	0.5	12	19	366.94	499.99	785.24	164.75	7736.47	0	1
100309	hCG2031179	131.74	131.74	1.4	-0.71	1	0.1	32	38	569.72	712.19	-222.79	166.19	6842.99	0	1
100312	hCG2029091.1	188.35	188.35	8.7	0.11	1	0.14	194	152	1780.9	1160.64	-22.61	149.2	6431.2	0	2
100313	hCG23912.3	19021.58	500.72	0.04	37.99	0	13.88	141	27	452.31	597.22	20249.77	216.83	28913.6	0	2
100328	hCG2041959	1961.36	349.84	0.18	5.61	0	1.43	177	146	1717.5	980.03	1317.58	145.92	7521.73	0	2
