Probe_ID	Gene_ID	Signal_P/8a-1_OKhymenets_220905	SDEV_P/8a-1_OKhymenets_220905	CV_P/8a-1_OKhymenets_220905	S_N_P/8a-1_OKhymenets_220905	Flags_P/8a-1_OKhymenets_220905	Assay_Normalized_Signal_P/8a-1_OKhymenets_220905	Row_P/8a-1_OKhymenets_220905	Column_P/8a-1_OKhymenets_220905	X_P/8a-1_OKhymenets_220905	Y_P/8a-1_OKhymenets_220905	CL_Sig_P/8a-1_OKhymenets_220905	CL_Sig_Error_P/8a-1_OKhymenets_220905	CL_Raw_P/8a-1_OKhymenets_220905	CL_Raw_SDEV_P/8a-1_OKhymenets_220905	Image_Area_P/8a-1_OKhymenets_220905
100002	hCG1643199.4	81618.6	771.37	0.04	105.81	0	105.04	189	77	994.32	1120.76	91672.41	301.07	99707.74	0	2
100003	hCG2041918	204.84	204.84	2.88	-0.35	1	0.25	45	39	586.9	864.93	-68.63	115.72	5476.75	0	1
100027	hCG31426.2	149.38	149.38	207.53	0	1	0.18	109	152	1790.84	1544.46	-49.7	114.29	5417.17	0	1
100036	hCG1979099.1	486.28	267.91	0.55	1.82	0	0.59	70	7	249.62	1133.02	751.39	114.35	6141.6	0	1
100037	hCG42687.4	16005.4	438.79	0.05	36.48	0	20.6	173	129	1544.63	950.04	11627.79	207.99	18525.04	0	2
100039	hCG2015782	5362.21	182.24	0.05	29.42	0	6.49	114	54	752.1	1599.73	5048.03	156.18	12446	0	1
100044	hCG36953.3	313.26	313.26	2.25	-0.45	1	0.38	68	51	718.01	1109.75	-177.19	129.63	6143.68	0	1
100045	hCG1776836.3	299.32	299.32	2.87	0.35	1	0.39	153	123	1482.29	740.17	-73.79	184.84	6422.33	0	2
100051	hCG1642464.3	360.97	224.39	0.62	1.61	0	0.44	75	157	1844.19	1183.39	222.49	110.84	5471.56	0	1
100052	hCG22993.3	164.5	136.76	0.83	1.2	0	0.21	146	139	1649.92	666.39	73.85	172.45	6102.26	0	2
100057	hCG1793655.1	1656.48	928.03	0.56	1.78	0	2.01	18	77	992.79	577.67	1188.97	151.09	8606.29	0	1
100058	hCG33215.3	33013.29	444.81	0.05	74.22	0	42.49	137	26	449.95	567.61	34732	241.59	42104.94	0	2
100060	hCG22998.3	3843.21	414.65	0.12	9.27	0	4.95	217	90	1131.08	1418.66	2349.43	188.33	8874.72	0	2
100062	hCG2039675	1485.88	656.85	0.44	2.26	0	1.91	170	18	363.31	918.95	1540.09	214.14	9073.99	0	2
100064	hCG14966.2	883.72	184.01	0.21	4.8	0	1.14	172	116	1404.97	941.66	741.35	188.89	7357.24	0	2
