Probe_ID	Gene_ID	Signal_P/2a-1_OKhymenets_220905	SDEV_P/2a-1_OKhymenets_220905	CV_P/2a-1_OKhymenets_220905	S_N_P/2a-1_OKhymenets_220905	Flags_P/2a-1_OKhymenets_220905	Assay_Normalized_Signal_P/2a-1_OKhymenets_220905	Row_P/2a-1_OKhymenets_220905	Column_P/2a-1_OKhymenets_220905	X_P/2a-1_OKhymenets_220905	Y_P/2a-1_OKhymenets_220905	CL_Sig_P/2a-1_OKhymenets_220905	CL_Sig_Error_P/2a-1_OKhymenets_220905	CL_Raw_P/2a-1_OKhymenets_220905	CL_Raw_SDEV_P/2a-1_OKhymenets_220905	Image_Area_P/2a-1_OKhymenets_220905
100002	hCG1643199.4	47796.31	656.96	0.06	72.75	0	68.42	189	77	1005.1	1097.16	50906.56	224.07	57560.07	0	2
100003	hCG2041918	99.24	99.24	0.63	-1.59	1	0.12	45	39	598.53	841.61	-283.71	90.74	4851.54	0	1
100027	hCG31426.2	96.25	96.25	2.76	0.36	1	0.12	109	152	1801.8	1521.04	31.9	77.16	4170.22	0	1
100036	hCG1979099.1	885.39	89.88	0.11	9.85	0	1.08	70	7	260.33	1109.9	1212.44	87.28	5875.86	0	1
100037	hCG42687.4	14521.44	361.31	0.06	40.19	0	20.79	173	129	1555.62	927.11	10075.77	153.28	15456	0	2
100039	hCG2015782	3231.41	201.14	0.08	16.07	0	3.95	114	54	763.25	1576.57	2431.93	103.31	8102	0	1
100044	hCG36953.3	176.48	176.48	8.78	-0.11	1	0.22	68	51	729.33	1086.36	-45.57	101.51	5870.89	0	1
100045	hCG1776836.3	127.08	127.08	0.66	-1.51	1	0.18	153	123	1493.26	717.04	-208.34	142.55	5351.47	0	2
100051	hCG1642464.3	173.89	173.89	31.56	-0.03	1	0.21	75	157	1855.62	1160.8	-82.04	83.06	4497.02	0	1
100052	hCG22993.3	178.35	178.35	0.83	-1.2	1	0.26	146	139	1661.38	643.03	-277.34	134.59	4940.2	0	2
100057	hCG1793655.1	1000.58	279.69	0.28	3.58	0	1.22	18	77	1004.16	554.58	681	106.19	6835.66	0	1
100058	hCG33215.3	44914	533.74	0.06	84.15	0	64.29	137	26	461.04	544.56	49629.35	206.35	55315.58	0	2
100060	hCG22998.3	2700.62	238.14	0.11	11.34	0	3.87	217	90	1142.56	1395.68	1827.97	165.06	8250.94	0	2
100062	hCG2039675	1148.24	465.6	0.41	2.47	0	1.64	170	18	374.38	896.02	1238.06	147.13	6916.78	0	2
100064	hCG14966.2	1421.37	201.96	0.15	7.04	0	2.03	172	116	1416.14	918.77	1353.33	137.03	6582.6	0	2
100079	hCG2012240	7104.42	161.52	0.06	43.98	0	8.68	81	7	257.44	1224.42	7911.59	99.96	12343.89	0	1
100089	hCG22245.3	1333.99	195.5	0.16	6.82	0	1.63	13	134	1608.5	499.24	1154.23	93.05	6261.96	0	1
100093	hCG17268.3	114.38	114.38	1.18	-0.85	1	0.16	204	90	1141.25	1257.2	-65.8	132.93	5079.53	0	2
100095	hCG1817887.1	211.57	211.57	1.74	-0.57	1	0.26	7	35	555.29	435.86	-238.05	95.46	5241.65	0	1
100100	hCG2005880	12587.81	200.68	0.05	62.73	0	15.38	101	23	431.97	1437.26	14781.95	124.57	20270.31	0	1
100102	hCG2042982	173.08	169.44	0.98	1.02	0	0.25	211	11	301.12	1331.96	103.3	113.66	4406	0	2
100103	hCG19199.3	76.86	76.86	1.23	-0.81	1	0.09	45	4	227.17	842.15	-55.15	79.06	4229.6	0	1
100105	hCG1652330.2	194.23	114.25	0.59	1.7	0	0.24	43	23	428.39	820.91	232.98	89.62	5248.84	0	1
100111	hCG22936.3	63.48	63.48	0.79	-1.28	1	0.09	142	56	778.92	600.33	-111.47	138.62	5279.37	0	2
100117	hCG2040797	240.19	240.19	2.8	-0.36	1	0.34	214	108	1332.6	1363.77	-66.69	125.1	4740.56	0	2
100120	hCG2006054	21985.85	292.62	0.06	75.13	0	31.47	131	82	1054.86	483.95	24507.59	189.35	30773.09	0	2
100130	hCG1818621.1	19574.23	265.48	0.05	73.73	0	23.92	30	117	1431.94	681.9	23025.93	142.51	28965.68	0	1
100137	hCG18905.3	229807.94	2265.31	0.06	101.45	0	328.96	156	84	1080.58	747.87	213330.64	373.85	222136.37	0	2
100145	hCG1777941.2	973.59	94.19	0.11	10.34	0	1.39	175	2	207.12	948.86	1028	114.13	5274.22	0	2
100146	hCG2042386	5163.99	139.13	0.06	37.12	0	7.39	146	111	1367.84	641.02	7298.13	164.02	13355.07	0	2
100151	hCG37749.3	209.79	209.79	0.85	-1.17	1	0.3	214	109	1343.32	1363.62	-185.66	138.08	5181.53	0	2
100159	hCG18119.3	429.04	122.2	0.29	3.51	0	0.61	145	131	1576.85	632.37	461.77	129.36	5419.93	0	2
100160	hCG1643047.3	249.46	91.2	0.37	2.74	0	0.3	12	37	578.82	488.21	250.64	88.11	5151.76	0	1
