Probe_ID	Gene_ID	Signal_P/8a-2_OKhymenets_220905	SDEV_P/8a-2_OKhymenets_220905	CV_P/8a-2_OKhymenets_220905	S_N_P/8a-2_OKhymenets_220905	Flags_P/8a-2_OKhymenets_220905	Assay_Normalized_Signal_P/8a-2_OKhymenets_220905	Row_P/8a-2_OKhymenets_220905	Column_P/8a-2_OKhymenets_220905	X_P/8a-2_OKhymenets_220905	Y_P/8a-2_OKhymenets_220905	CL_Sig_P/8a-2_OKhymenets_220905	CL_Sig_Error_P/8a-2_OKhymenets_220905	CL_Raw_P/8a-2_OKhymenets_220905	CL_Raw_SDEV_P/8a-2_OKhymenets_220905	Image_Area_P/8a-2_OKhymenets_220905
100002	hCG1643199.4	168499.2	2659.43	0.04	63.36	0	99.02	189	77	1014.19	1105.14	216212.38	564.79	232285.31	0	2
100003	hCG2041918	167.12	167.12	6.24	0.16	1	0.09	45	39	605.28	848.78	-26.59	198.91	8070.62	0	1
100027	hCG31426.2	127.99	123.16	0.96	1.04	0	0.07	109	152	1811.54	1524.34	20.5	191.87	7810.85	0	1
100036	hCG1979099.1	1629.44	578.09	0.36	2.82	0	0.87	70	7	268.2	1116.59	1770.34	237.13	11454.25	0	1
100037	hCG42687.4	34092.76	777.35	0.04	43.86	0	20.04	173	129	1568.37	933.25	34291.08	305.01	43623.25	0	2
100039	hCG2015782	13448.42	343.83	0.06	39.11	0	7.18	114	54	770.31	1581.55	12142.59	235.95	21352.06	0	1
100044	hCG36953.3	244	244	0.35	-2.86	1	0.13	68	51	736.68	1093.2	-940.48	235.36	8736.82	0	1
100045	hCG1776836.3	302.95	302.95	1.71	0.59	1	0.18	153	123	1505.08	720.86	74.66	257.31	8630.35	0	2
100051	hCG1642464.3	269.79	269.79	1.26	-0.79	1	0.14	75	157	1860.92	1162.34	-193.6	167.54	6540.46	0	1
100052	hCG22993.3	358.14	250.97	0.7	1.43	0	0.21	146	139	1674.9	645.86	343.63	254.2	8783.59	0	2
100057	hCG1793655.1	4458.83	758.22	0.18	5.88	0	2.38	18	77	1010.51	559.45	3362.44	309.77	16154.74	0	1
100058	hCG33215.3	58782.04	829.13	0.04	70.9	0	34.54	137	26	471.37	555.16	54923.99	336.84	64943.77	0	2
100060	hCG22998.3	1057.2	698.25	0.66	1.51	0	0.62	217	90	1152.72	1402.29	865.49	322.14	11643.63	0	2
100062	hCG2039675	6732.38	1793.93	0.27	3.75	0	3.96	170	18	386.58	905.38	9320.7	351.75	20941.79	0	2
100064	hCG14966.2	2120.01	339.43	0.16	6.25	0	1.25	172	116	1427.9	923.7	2113.39	267.25	10955.91	0	2
100079	hCG2012240	25574.98	348.17	0.05	73.46	0	13.65	81	7	267.09	1233.66	22896.97	217.42	30753.55	0	1
100089	hCG22245.3	4405.2	281.59	0.08	15.64	0	2.35	13	134	1614.18	506.24	4247.51	198.9	12141.87	0	1
100093	hCG17268.3	158.83	158.83	1.78	0.56	1	0.09	204	90	1152.74	1263.62	73.47	240.77	8056.88	0	2
100095	hCG1817887.1	942.86	942.86	1.1	0.91	1	0.5	7	35	561.71	447.18	1050.47	334.84	14998.5	0	1
100100	hCG2005880	44699.81	487.16	0.05	91.76	0	23.86	101	23	439.9	1444.05	41808.03	273.69	51619.23	0	1
