Reporter Identifier	VALUE	S_N_P/2a-2_OKhymenets_220905
100002	49787.61	82.1
100003	114.87	-1.06
100027	117.5	-0.64
100036	401.24	1.91
100037	13239.26	35.69
100039	3907.18	22.85
100044	137.13	-0.54
100045	1486.25	5.75
100051	164.21	-3.42
100052	186.62	0.59
100057	1512.73	4.39
100058	44928.84	60
100060	2564.56	14.1
100062	1214.49	2.46
100064	947.93	4.69
100079	5811.8	37.17
100089	1236.28	5.1
100093	203.87	0.16
100095	961.15	-0.57
100100	11663.36	79.72
100102	206.07	0.74
100103	127.75	-0.66
100105	71.86	0.8
100111	413.72	7.25
100117	294.71	-0.34
100120	19911.25	55.98
100130	19623.46	54.73
100137	217264.39	64.25
100145	650.63	4.09
100146	2913.59	17.05
100151	257.46	0.36
100159	281.94	0.97
100160	498.29	6.44
100172	1165.34	6.1
100181	2089.04	7.95
100182	316.24	-0.66
100184	4284.86	31.89
100195	8311.81	19.88
100214	905.32	11.92
100215	957.75	2.8
100216	111.01	0.29
100244	223.08	0.88
100249	68831.71	60.82
100259	1062.25	6.73
100260	355.31	-0.33
100269	127.63	-0.36
100277	225.15	-0.87
100278	708.61	5.85
100288	181.97	0.26
100289	311.16	7.18
100295	232.17	-1.09
100297	449.78	2.53
100302	127.15	0.68
100309	11178.55	30.08
100312	208.71	1.04
100313	11722.83	55.87
100328	397.67	2.58
100336	291.11	0.53
100340	11692.81	17.75
100344	5933.71	13.81
100348	248704.1	72.73
100352	282.23	2.88
100356	7197.87	30.32
100357	744.25	2.37
100365	202.39	1.25
100369	125.69	-4.28
100384	21150.56	101.6
100385	8639.33	41.49
100388	379.88	2.1
100390	200159.49	54.72
100398	690.74	8.53
100403	3245.08	20.53
100404	503.9	4.17
100405	1429.29	7.32
100410	3190.48	20.73
100415	918.57	2.87
100419	313.52	1.85
100423	33928.07	23.78
100426	86.39	-1.78
100430	8168.85	22.71
100431	2356.61	11.24
100436	285.62	-0.71
100442	76661.38	66.56
100451	286.82	1.04
100454	7905.05	45.47
100455	706.32	3.82
100458	157.67	0.46
100460	21476.76	71.92
100472	541.7	4.19
100473	156.18	-0.94
100479	51.15	0.53
100485	1104.71	3.42
100492	174.88	-0.07
100494	1191.71	2.59
100503	18466.57	42.83
100510	6671.92	19.57
100511	417.8	1.88
100513	1019.72	10.59
100524	3324.92	12.95
100525	111.36	0.48
100529	138.25	-1.44
100537	14529.69	63.3
100543	12685.62	43.84
100547	211.83	1.55
100552	43536.72	85.47
100557	680.37	0.91
100558	173.95	1.07
100566	126.46	-0.75
100569	263.98	1.91
100570	1525.65	4.17
100572	114.79	-0.84
100575	450.27	-0.53
100583	107.74	0.54
100589	5203.45	27.55
100591	6373.62	38.68
100594	428.43	-0.44
100596	2482.75	7.45
100608	386.66	1.63
100611	262.4	0.15
100627	143952.04	85.82
100628	93.14	-0.78
100629	45014.37	104.63
100635	1569.78	4.53
100636	31343.25	50.05
100639	2341.9	10.17
100641	35985.04	58.62
100642	248.4	0.32
100645	186.7	-0.22
100646	141.48	-1.23
100658	93.91	-1.61
100659	425.03	3.54
100664	39567.84	76.97
100671	1881.64	8.77
100679	1124.67	4.34
100680	152.61	1.1
100681	357.34	1.01
100687	819.16	16.84
100689	1793.68	11.87
100691	1883.13	8.95
100694	852.23	4.86
100702	184917.54	72.3
100709	3985.93	18.95
100710	30363.03	67.72
100717	460.09	0.12
100719	214.31	3.54
100722	1044.51	7.62
100727	270.04	-0.26
100736	145.95	-0.06
100747	312.09	1.66
100748	1209.35	4.45
100757	5757.55	16.29
100762	72.6	-0.14
100765	5268.72	34.81
100771	1184354.38	64.32
100777	6830.59	42.31
100781	261.33	-0.65
100787	974.53	1.45
100788	587.47	2.86
100794	94.71	-2.83
100801	425.86	1.26
100812	711.27	4.31
100814	236.69	1.96
100819	208.25	0.71
100825	1064.52	8.98
100826	275991.94	63.89
100830	123.39	1.02
100837	154.3	-0.4
100840	49767.72	58.67
100845	28791.73	55.06
100857	130.44	-0.62
100869	169.59	-2.14
100876	142.9	-1.44
100883	167.43	0.94
100884	670.93	5.28
100890	531.58	3.72
100892	3320.91	14.54
100894	233901.25	56.47
100901	48404.4	50.8
100912	1086.45	8.23
100914	3761.06	13.19
100925	336.58	-1.64
100935	160.05	1.43
100939	3548.22	9.47
100942	1129.36	4.21
100943	4595.67	15.37
100945	3302.42	6.72
100949	2195.76	12.94
100951	5565.71	46.16
100952	140	0.62
100955	22665.65	85.75
100963	4368.46	14.63
100966	3828.03	12.44
100969	12734.92	46.21
100972	280.17	-2.08
100983	148.35	1.06
100984	1152.83	4.14
100989	573.5	5.13
100993	3554.7	17.07
100996	145.54	-0.2
100997	1022.42	7.22
101011	190.57	0.32
101012	2185.87	14.74
