Reporter Identifier	VALUE	S_N_P/8a-3_OKhymenets_220905
100002	117081.49	81.94
100003	160.86	-0.81
100027	239.78	1.21
100036	1741.47	6.15
100037	23020.83	51.56
100039	8696.52	43.73
100044	168.12	-2.54
100045	278.79	0.18
100051	192.64	-0.76
100052	241.13	0.65
100057	3084.68	11.34
100058	44408.5	55.86
100060	190.16	1.35
100062	3815.93	5.55
100064	1693.28	5.7
100079	20467.6	70.85
100089	2990.1	14.12
100093	135.63	-0.41
100095	521.98	0.68
100100	33420.2	69.03
100102	372.39	2.02
100103	183.42	-0.1
100105	402.83	5.26
100111	193.99	-1.72
100117	107.56	-0.06
100120	36253.03	78.13
100130	41485.58	88.58
100137	249399.68	94.51
100145	943.6	4.53
100146	6476.87	25.43
100151	354.14	-0.63
100159	857.41	4.34
100160	255.16	1.72
100172	1450.97	8.29
100181	5339.76	22.1
100182	521.86	2.17
100184	6604.61	27.72
100195	20196.97	57.98
100214	1803.21	10.03
100215	3648.79	20.13
100216	486.03	3.36
100244	393.72	3
100249	173470.06	69.2
100259	2595.7	19.89
100260	184.73	-1.03
100269	184.67	0.09
100277	191.55	0.3
100278	1680.44	10.71
100288	56.67	-3.65
100289	185.92	-0.77
100295	325.65	-1.65
100297	1188.01	9.59
100302	1336.08	3.62
100309	157.71	1.56
100312	219.61	-0.21
100313	20802.83	64.01
100328	2287.77	13.13
100336	235.74	1.17
100340	22495.77	21.56
100344	13222.52	29.74
100348	321731.44	107.13
100352	626.1	2.85
100356	13510.96	42.95
100357	1565.85	10.98
100365	640.05	4.66
100369	207.68	-1.37
100384	26659.78	90.73
100385	27171.78	50.8
100388	218.14	-1.2
100390	291199.48	101.25
100398	1322.57	9.4
100403	11075.86	62.28
100404	398.48	2.31
100405	4469.84	11.16
100410	5041.33	50.96
100415	1277.94	4.68
100419	211.55	-1.18
100423	49487.28	32.06
100426	206.4	2.2
100430	16872.42	46.08
100431	2828.1	11.63
100436	191.24	0.49
100442	114601.25	93.26
100451	1176.76	7.28
100454	16583.72	65.56
100455	824.65	2.33
100458	450.58	4.36
100460	42171.58	95.74
100472	493.33	2.32
100473	153.37	1.88
100479	464.11	1.01
100485	5253.88	31.11
100492	128.54	-0.06
100494	2688.28	6.83
100503	37526.39	100.37
100510	11892.84	22.5
100511	76.09	1.03
100513	1300.8	8.17
100524	8269.85	50.81
100525	150.01	-1.4
100529	70.76	-0.88
100537	26455	74.28
100543	19835.71	60.45
100547	808.92	4.01
100552	86750.45	133.65
100557	491.36	0.07
100558	147.19	-0.7
100566	161.88	-0.16
100569	165.8	-0.18
100570	3063.87	14.18
100572	88.78	0.19
100575	228.5	-0.99
100583	263.93	1.82
100589	9949.96	49.54
100591	10278.03	40.56
100594	1137.31	0.74
100596	6364.28	20.62
100608	200.35	-1.49
100611	139.73	-0.1
100627	353150.85	80.95
100628	232.06	1.19
100629	60137.47	116.4
100635	5501.56	10.24
100636	46341.96	60.67
100639	6841.72	34.17
100641	38772.48	42.98
100642	203.77	0.62
100645	198.58	0.21
100646	245.5	-0.13
100658	149.5	1.01
100659	630.05	3.65
100664	69737.84	92.42
100671	3406.4	28.68
100679	1011.51	8.31
100680	1196.19	3.9
100681	460.07	0.94
100687	669.7	13.31
100689	5810.18	26.04
100691	7849.05	45.05
100694	4572.26	21.14
100702	290178.3	61.54
100709	8266.05	49.21
100710	69429.27	73.89
100717	753.29	0.6
100719	336.77	1.83
100722	1684.57	7.64
100727	207.29	0.76
100736	151.5	-0.74
100747	347.12	3.04
100748	2204.39	3.31
100757	12566.68	40.06
100762	273.43	0.13
100765	9875.95	38.25
100771	990755.34	47.14
100777	18452.33	71.76
100781	78.73	-4.09
100787	817.35	-0.06
100788	2050.73	10.27
100794	582.23	2.8
100801	836.04	4.58
100812	1035.06	3.89
100814	651.18	5.26
100819	1643.31	12.29
100825	2830.5	11.83
100826	449183.07	68.24
100830	204.66	0.75
100837	149.1	0.33
100840	69769.3	88.26
100845	41141.42	94.87
100857	439.78	7.06
100869	165.6	-0.39
100876	205.17	0.31
100883	116.48	-0.11
100884	319.41	1.76
100890	1525.82	8.05
100892	6920.73	23.11
100894	396300.31	78.89
100901	56996.31	86.78
100912	1912.65	13.55
100914	7475.03	52.88
100925	342	2.12
100935	185.89	-0.19
100939	6922.15	4.14
100942	4526.15	17.41
100943	7804.45	23.12
100945	8452.37	31.05
100949	3817.48	31.45
100951	13561.94	54.37
100952	263.67	1.05
100955	39598.54	111.4
100963	7189.49	19.2
100966	14157.38	51.72
100969	19883.35	72.34
100972	601.2	2.33
100983	399.87	1.96
100984	2409.1	9.65
100989	620.7	4.05
100993	7691.98	57.94
100996	206.48	-0.61
100997	1469.57	3.7
101011	454.49	2.69
101012	5517.73	27.18
101018	5567.76	25.27
101019	1619.4	12.22
101020	8467.13	31.98
101026	6370.23	37.04
101027	4005.1	11.26
101034	196.44	-0.46
101039	9112.7	31.84
101042	6865.52	36.52
101044	363.67	4.11
101058	121712.87	90.57
101059	180.17	0.95
101060	3046.37	22.96
101065	9599.19	23.91
101068	36213	62.08
101070	26369.21	64.59
101072	12227.77	51.76
101083	411.2	3.4
101089	197.13	-0.4
101108	5365.82	33.73
101109	327.23	0.11
101113	426754.62	107.78
101114	2132.79	7.17
101116	9214.69	35.88
101120	20477.59	67.84
101122	373.84	1.51
101123	8728.88	54.6
101125	87820.68	75.19
101126	24420.69	90.03
101140	9738.62	49.25
101144	173.79	-0.01
101145	166123.28	111.62
101150	2615.31	15.1
101157	273.54	-1.42
101173	2043.68	13.23
101185	5291.32	30.38
101191	6505.1	34.05
101192	17737.24	36.39
101193	6566.24	27.54
101194	9891.5	76.58
101196	31470.24	72.73
101200	1209.3	2.89
101210	140.74	-2.13
101213	22833.22	78.56
101216	869.06	4.26
101220	50475.13	77.18
101231	181.95	-1.42
101239	55275.1	71.99
101242	2744.62	5.33
101251	439.44	2.06
101252	625.65	2.55
101255	73055.74	80.41
101260	4376.69	28.09
101262	167.7	-0.88
101263	846.24	5.31
101266	21985.79	101
101269	722.21	5.07
101287	87417.7	81.48
101293	17759.71	65.06
101300	6582.64	28.9
101304	2015.59	25.14
101310	26242.07	83.88
101319	189.65	0.2
101320	9157.87	39.91
101331	1764.69	6.71
101333	7507.56	41.55
101336	154.75	-0.79
101339	18097.15	42.59
101347	732.2	2.13
101353	385.82	4.59
101356	523.5	0.81
101359	278.58	-1.57
101361	473.18	0.35
101365	768643.95	120.21
101368	1361.71	8.54
