Probe_ID	Gene_ID	Signal_P/8a-3_OKhymenets_220905	SDEV_P/8a-3_OKhymenets_220905	CV_P/8a-3_OKhymenets_220905	S_N_P/8a-3_OKhymenets_220905	Flags_P/8a-3_OKhymenets_220905	Assay_Normalized_Signal_P/8a-3_OKhymenets_220905	Row_P/8a-3_OKhymenets_220905	Column_P/8a-3_OKhymenets_220905	X_P/8a-3_OKhymenets_220905	Y_P/8a-3_OKhymenets_220905	CL_Sig_P/8a-3_OKhymenets_220905	CL_Sig_Error_P/8a-3_OKhymenets_220905	CL_Raw_P/8a-3_OKhymenets_220905	CL_Raw_SDEV_P/8a-3_OKhymenets_220905	Image_Area_P/8a-3_OKhymenets_220905
100002	hCG1643199.4	117081.49	1428.8	0.03	81.94	0	103.03	189	77	1023.91	1097.32	149666.26	366.87	160338.55	0	2
100003	hCG2041918	160.86	160.86	1.24	-0.81	1	0.11	45	39	620.53	839.71	-416.34	161.4	5767.94	0	1
100027	hCG31426.2	239.78	198.5	0.83	1.21	0	0.17	109	152	1823.34	1519.59	176.55	172.13	6796.95	0	1
100036	hCG1979099.1	1741.47	283.11	0.17	6.15	0	1.24	70	7	282.11	1106.51	1851.23	155.75	7693.74	0	1
100037	hCG42687.4	23020.83	446.53	0.04	51.56	0	20.26	173	129	1578.71	927.49	23491.48	218.85	31197.33	0	2
100039	hCG2015782	8696.52	198.86	0.06	43.73	0	6.21	114	54	783.1	1573	8504.97	192.8	15587.11	0	1
100044	hCG36953.3	168.12	168.12	0.4	-2.54	1	0.12	68	51	750.5	1084.4	-797	188.89	6527.15	0	1
100045	hCG1776836.3	278.79	278.79	5.48	0.18	1	0.25	153	123	1515.9	714.8	15.9	189.95	7536.12	0	2
100051	hCG1642464.3	192.64	192.64	1.32	-0.76	1	0.14	75	157	1874.33	1158.25	-253.03	163.71	6027.44	0	1
100052	hCG22993.3	241.13	241.13	1.53	0.65	1	0.21	146	139	1685.79	640.6	82.28	165.01	6542.37	0	2
100057	hCG1793655.1	3084.68	272	0.11	11.34	0	2.2	18	77	1026.7	551.87	2090.72	169.84	8514.31	0	1
100058	hCG33215.3	44408.5	795.03	0.04	55.86	0	39.08	137	26	482.95	545.24	43778.25	247.19	51955.07	0	2
100060	hCG22998.3	190.16	140.37	0.74	1.35	0	0.17	217	90	1161.4	1394.94	68.2	170.5	6762.16	0	2
100062	hCG2039675	3815.93	687.64	0.18	5.55	0	3.36	170	18	397.08	895.33	4294.99	203.08	12176.42	0	2
100064	hCG14966.2	1693.28	297.15	0.18	5.7	0	1.49	172	116	1438.73	918.26	1665.86	179.59	8663.22	0	2
100079	hCG2012240	20467.6	288.87	0.06	70.85	0	14.62	81	7	281.26	1223.61	19296.96	178.23	25135.95	0	1
100089	hCG22245.3	2990.1	211.82	0.09	14.12	0	2.14	13	134	1630.32	500.69	2759.99	163.11	8861.55	0	1
100093	hCG17268.3	135.63	135.63	2.42	-0.41	1	0.12	204	90	1161.68	1256.3	-181.53	159.43	6045.9	0	2
100095	hCG1817887.1	521.98	521.98	1.46	0.68	1	0.37	7	35	577.9	437.57	291.52	264.91	10748.54	0	1
100100	hCG2005880	33420.2	484.17	0.06	69.03	0	23.88	101	23	453.27	1434.32	36521.7	223.03	43658.16	0	1
100102	hCG2042982	372.39	184.46	0.5	2.02	0	0.33	211	11	321.68	1330.68	290.5	139.88	5666.58	0	2
100103	hCG19199.3	183.42	183.42	9.91	-0.1	1	0.13	45	4	249.19	840.44	-195.85	146.75	5378.85	0	1
100105	hCG1652330.2	402.83	76.61	0.2	5.26	0	0.29	43	23	450.51	818.7	285.78	158.07	6315.29	0	1
100111	hCG22936.3	193.99	193.99	0.58	-1.72	1	0.17	142	56	803.23	597.17	-493.93	182.31	6703.99	0	2
100117	hCG2040797	107.56	107.56	15.44	-0.06	1	0.09	214	108	1356	1363.59	-24.83	140.79	5409.92	0	2
100120	hCG2006054	36253.03	464	0.03	78.13	0	31.9	131	82	1078.31	482.31	42809.62	249.96	51168.91	0	2
100130	hCG1818621.1	41485.58	468.33	0.06	88.58	0	29.64	30	117	1451.84	677.76	51197.61	251.88	59121.01	0	1
100137	hCG18905.3	249399.68	2638.73	0.03	94.51	0	219.46	156	84	1098.7	744.59	187428.69	361.27	196337.15	0	2
100145	hCG1777941.2	943.6	208.16	0.22	4.53	0	0.83	175	2	228.49	950.46	842.28	164.59	7240.91	0	2
100146	hCG2042386	6476.87	254.66	0.05	25.43	0	5.7	146	111	1388.06	638.68	9065.92	216.79	17332.41	0	2
100151	hCG37749.3	354.14	354.14	1.59	-0.63	1	0.31	214	109	1365.43	1362.11	-274.2	148.58	5492.22	0	2
100159	hCG18119.3	857.41	197.38	0.23	4.34	0	0.75	145	131	1601.07	629.71	941.86	178.75	7940.6	0	2
100160	hCG1643047.3	255.16	148.17	0.58	1.72	0	0.18	12	37	599.31	490.46	100.19	169.58	6618.7	0	1
100172	hCG1984846	1450.97	175.09	0.12	8.29	0	1.28	216	27	494.07	1384.28	1307.5	145.38	6853.79	0	2
100181	hCG1644761.3	5339.76	241.65	0.07	22.1	0	3.82	90	139	1683.86	1318.68	6525.74	190.04	13584.94	0	1
100182	hCG1817349.1	521.86	240.63	0.46	2.17	0	0.46	216	125	1535.32	1384.96	335.99	150.45	6161.13	0	2
100184	hCG19707.3	6604.61	238.28	0.07	27.72	0	4.72	74	27	495.13	1147.07	5515.79	168.73	11705.04	0	1
100195	hCG19232.3	20196.97	348.34	0.04	57.98	0	17.77	157	48	716.8	755.9	16454.98	200.27	23625.57	0	2
100214	hCG1773993.2	1803.21	179.83	0.1	10.03	0	1.59	222	138	1674.66	1448.14	1632.3	143.43	7073.62	0	2
100215	hCG19658.3	3648.79	181.25	0.08	20.13	0	2.61	38	75	1005.41	763.9	3149.05	157.39	8984.76	0	1
100216	hCG16896.2	486.03	144.75	0.3	3.36	0	0.35	86	44	674.47	1276.22	474.98	183.8	7565.9	0	1
100244	hCG38837.3	393.72	131.43	0.34	3	0	0.35	229	69	938.44	1523.34	356.1	139.96	5730.91	0	2
100249	hCG2042122	173470.06	2506.82	0.03	69.2	0	152.64	186	147	1767.63	1065.52	148268.07	342.22	157502.1	0	2
100259	hCG1990058	2595.7	130.48	0.06	19.89	0	2.28	201	36	589.61	1224.61	2638.98	157.36	8622.13	0	2
100260	hCG2041407	184.73	184.73	0.97	-1.03	1	0.16	176	109	1364.17	960.73	-183.83	188.61	7280.83	0	2
100269	hCG2042042	184.67	184.67	11.66	0.09	1	0.13	94	93	1194.77	1362.3	-182.39	187.54	7086.75	0	1
100277	hCG1746386.2	191.55	191.55	3.33	0.3	1	0.17	210	73	981.24	1321.45	-50.99	156.96	6071.36	0	2
100278	hCG2043255	1680.44	156.87	0.11	10.71	0	1.2	48	31	535.62	871.91	1815.77	156.67	7698.86	0	1
100288	hCG15198.3	56.67	56.67	0.28	-3.65	131073	0.05	226	135	1643.32	1490.38	-258.76	140.42	5159.29	0	2
100289	NM_018661.2	185.92	185.92	1.29	-0.77	1	0.13	102	138	1675.72	1444.98	-346.38	188.29	6953.53	0	1
100295	hCG38931.2	325.65	325.65	0.61	-1.65	1	0.29	145	90	1162.34	627.46	-497.51	192.21	7119.11	0	2
100297	hCG1817726.2	1188.01	123.93	0.11	9.59	0	1.05	126	38	609.86	426.13	1428.72	181.14	8504.2	0	2
100302	hCG1997291	1336.08	369.03	0.28	3.62	0	0.95	12	19	406.7	488.9	316.87	150.42	6025.36	0	1
100309	hCG2031179	157.71	101.33	0.65	1.56	0	0.11	32	38	611.36	698.96	70	160.19	6200.44	0	1
100312	hCG2029091.1	219.61	219.61	4.82	-0.21	1	0.19	194	152	1819.92	1150.85	-65.81	148.32	5688.77	0	2
100313	hCG23912.3	20802.83	324.98	0.04	64.01	0	18.31	141	27	494.6	585.53	24151.51	210.91	31443.34	0	2
100328	hCG2041959	2287.77	174.19	0.08	13.13	0	2.01	177	146	1755.64	971.86	2184.64	150.39	7893.14	0	2
100336	hCG1780372.3	235.74	201.01	0.85	1.17	0	0.21	192	159	1892.41	1129.51	138.78	133.37	5245.71	0	2
100340	hCG15506.3	22495.77	1043.58	0.06	21.56	0	19.8	215	91	1171.69	1373.79	19044.89	223.17	27157.19	0	2
100344	hCG18366.3	13222.52	444.64	0.05	29.74	0	11.64	224	93	1195.54	1468.67	17507.15	207.45	24960.67	0	2
100348	hCG1642034.3	321731.44	3003.18	0.06	107.13	0	229.89	31	74	994.71	689.2	377332.46	520.25	390413.19	0	1
100352	hCG1747645.1	626.1	219.68	0.36	2.85	0	0.45	6	103	1301.49	427.24	572.65	168.27	7011.74	0	1
100356	hCG17886.4	13510.96	314.55	0.04	42.95	0	11.89	219	29	514.47	1414.98	9432.38	161.34	15182.64	0	2
100357	hCG2041921	1565.85	142.6	0.1	10.98	0	1.38	157	43	663.62	755.82	1429.89	179.4	8431.57	0	2
100365	hCG25409.2	640.05	137.45	0.22	4.66	0	0.46	88	102	1291.89	1298.81	735.24	195.54	8301.82	0	1
100369	hCG2041004	207.68	207.68	0.73	-1.37	1	0.18	145	61	855.28	627.96	-455.58	191.4	7127.07	0	2
